com.codahale.metrics.ClockTest.userTimeClock 18sm 17sm 25sm 18sm 25sm 17sm 18sm 17sm 17sm 18sm 17sm 17sm 17sm 16sm 16sm 21sm 17sm 16sm 17sm 18sm 25sm 17sm 16sm 17sm 17sm 16sm 17sm 16sm 17sm 26sm 18sm 18sm 17sm 18sm 17sm 17sm 17sm 17sm 17sm 22sm 18sm 16sm 17sm 17sm 17sm 16sm 24sm 18sm 16sm 17sm 17sm 17sm 17sm 18sm 16sm 18sm 23sm 16sm 18sm 25sm 16sm 17sm 16sm 22sm 18sm 17sm 20sm 17sm 23sm 17sm 16sm 16sm 21sm 16sm 16sm 16sm 17sm 18sm 17sm 25sm 17sm 19sm 17sm 16sm 16sm 16sm 16sm 17sm 17sm 22sm 27sm 17sm 18sm 18sm 17sm 17sm 18sm 22sm 17sm 17sm 
com.codahale.metrics.MetricRegistryTest.hasAMapOfRegisteredHistograms 85sm 81sm 85sm 83sm 102sm 81sm 84sm 85sm 85sm 83sm 82sm 81sm 83sm 85sm 84sm 121sm 84sm 85sm 80sm 82sm 87sm 86sm 83sm 81sm 82sm 83sm 81sm 83sm 82sm 107sm 88sm 84sm 83sm 84sm 84sm 80sm 83sm 81sm 83sm 103sm 82sm 82sm 83sm 82sm 82sm 85sm 104sm 83sm 83sm 83sm 81sm 82sm 83sm 85sm 83sm 83sm 112sm 81sm 86sm 90sm 84sm 84sm 84sm 92sm 86sm 83sm 92sm 88sm 107sm 84sm 83sm 81sm 102sm 82sm 81sm 83sm 81sm 85sm 83sm 106sm 84sm 84sm 83sm 83sm 83sm 85sm 81sm 82sm 85sm 92sm 90sm 81sm 86sm 88sm 85sm 83sm 83sm 88sm 85sm 83sm 
com.codahale.metrics.MetricRegistryTest.hasAMapOfRegisteredCounters 4sm 5sm 4sm 4sm 6sm 5sm 5sm 4sm 7sm 4sm 5sm 5sm 5sm 4sm 5sm 7sm 5sm 5sm 5sm 5sm 6sm 4sm 5sm 4sm 5sm 5sm 4sm 5sm 5sm 7sm 4sm 4sm 4sm 5sm 5sm 5sm 5sm 5sm 5sm 7sm 5sm 5sm 4sm 5sm 5sm 5sm 6sm 5sm 4sm 4sm 5sm 5sm 5sm 4sm 4sm 5sm 6sm 5sm 5sm 7sm 5sm 5sm 4sm 7sm 5sm 5sm 6sm 4sm 6sm 4sm 4sm 4sm 7sm 5sm 4sm 4sm 4sm 4sm 4sm 6sm 5sm 5sm 5sm 6sm 5sm 4sm 7sm 5sm 5sm 7sm 7sm 4sm 4sm 4sm 4sm 5sm 5sm 6sm 4sm 5sm 
com.codahale.metrics.SnapshotTest.calculatesTheStdDev 8sm 7sm 7sm 7sm 9sm 7sm 8sm 8sm 10sm 7sm 7sm 7sm 7sm 7sm 6sm 10sm 7sm 8sm 8sm 7sm 9sm 6sm 10sm 7sm 9sm 13sm 6sm 7sm 8sm 9sm 8sm 8sm 7sm 7sm 7sm 7sm 8sm 8sm 15sm 9sm 8sm 8sm 7sm 7sm 7sm 8sm 10sm 8sm 7sm 17sm 8sm 7sm 7sm 8sm 7sm 8sm 16sm 8sm 8sm 9sm 18sm 7sm 7sm 11sm 8sm 7sm 10sm 7sm 9sm 7sm 7sm 8sm 9sm 7sm 7sm 12sm 7sm 8sm 7sm 11sm 8sm 7sm 8sm 10sm 20sm 7sm 13sm 7sm 8sm 10sm 9sm 8sm 7sm 7sm 8sm 8sm 8sm 9sm 7sm 8sm 
com.codahale.metrics.JmxAttributeGaugeTest.returnsAJmxAttribute 28sm 17sm 16sm 17sm 27sm 18sm 17sm 17sm 17sm 20sm 19sm 18sm 19sm 16sm 16sm 25sm 18sm 26sm 18sm 17sm 25sm 16sm 17sm 17sm 18sm 17sm 17sm 18sm 29sm 17sm 17sm 16sm 17sm 17sm 17sm 19sm 19sm 27sm 17sm 22sm 19sm 26sm 17sm 18sm 17sm 18sm 26sm 26sm 18sm 17sm 17sm 19sm 17sm 24sm 17sm 26sm 16sm 26sm 17sm 25sm 26sm 17sm 17sm 25sm 24sm 19sm 18sm 18sm 25sm 18sm 25sm 18sm 27sm 17sm 18sm 17sm 17sm 17sm 16sm 28sm 18sm 17sm 17sm 27sm 17sm 17sm 26sm 17sm 16sm 28sm 26sm 17sm 27sm 28sm 19sm 17sm 27sm 26sm 20sm 17sm 
com.codahale.metrics.HistogramTest.updatesTheCountOnUpdates 10sm 7sm 6sm 6sm 8sm 6sm 7sm 6sm 6sm 7sm 6sm 6sm 7sm 6sm 7sm 9sm 7sm 10sm 7sm 7sm 11sm 7sm 7sm 7sm 6sm 6sm 7sm 7sm 11sm 7sm 7sm 6sm 6sm 7sm 7sm 7sm 7sm 11sm 7sm 8sm 7sm 10sm 6sm 7sm 7sm 7sm 7sm 9sm 7sm 7sm 7sm 7sm 7sm 10sm 6sm 11sm 7sm 10sm 7sm 10sm 10sm 7sm 7sm 10sm 10sm 7sm 6sm 7sm 10sm 7sm 10sm 7sm 10sm 7sm 7sm 7sm 6sm 7sm 7sm 9sm 7sm 6sm 6sm 10sm 6sm 7sm 9sm 7sm 7sm 10sm 11sm 6sm 11sm 10sm 7sm 7sm 9sm 11sm 9sm 7sm 
com.codahale.metrics.MetricRegistryListenerTest.noOpsOnTimerAdded 8sm 5sm 5sm 5sm 6sm 5sm 5sm 4sm 4sm 5sm 5sm 4sm 5sm 5sm 5sm 7sm 6sm 8sm 5sm 6sm 7sm 6sm 5sm 6sm 5sm 5sm 5sm 5sm 9sm 5sm 5sm 5sm 5sm 5sm 6sm 5sm 5sm 8sm 6sm 5sm 6sm 8sm 5sm 5sm 5sm 6sm 5sm 6sm 5sm 5sm 5sm 5sm 5sm 8sm 5sm 8sm 5sm 8sm 5sm 8sm 9sm 5sm 5sm 8sm 7sm 5sm 5sm 5sm 7sm 6sm 8sm 5sm 8sm 5sm 5sm 4sm 6sm 5sm 5sm 8sm 5sm 5sm 5sm 8sm 5sm 5sm 7sm 5sm 5sm 8sm 8sm 4sm 7sm 8sm 5sm 6sm 6sm 8sm 7sm 5sm 
com.codahale.metrics.ConsoleReporterTest.reportsMeterValues 21sm 14sm 14sm 15sm 19sm 15sm 15sm 14sm 14sm 14sm 15sm 14sm 16sm 15sm 15sm 21sm 15sm 22sm 14sm 15sm 21sm 14sm 15sm 15sm 15sm 15sm 15sm 14sm 23sm 15sm 15sm 15sm 14sm 14sm 14sm 16sm 15sm 23sm 16sm 20sm 15sm 21sm 15sm 15sm 15sm 15sm 19sm 20sm 16sm 15sm 14sm 15sm 16sm 21sm 14sm 21sm 14sm 22sm 16sm 22sm 23sm 14sm 15sm 21sm 20sm 16sm 14sm 15sm 21sm 15sm 22sm 15sm 21sm 16sm 15sm 14sm 14sm 15sm 14sm 22sm 15sm 15sm 16sm 21sm 14sm 14sm 21sm 15sm 15sm 22sm 21sm 13sm 21sm 22sm 14sm 16sm 20sm 23sm 19sm 15sm 
com.codahale.metrics.SnapshotTest.hasAp999 7sm 4sm 4sm 5sm 7sm 5sm 4sm 5sm 5sm 4sm 4sm 4sm 5sm 4sm 5sm 6sm 4sm 7sm 4sm 4sm 7sm 4sm 5sm 5sm 4sm 5sm 4sm 3sm 6sm 4sm 5sm 5sm 5sm 5sm 5sm 4sm 5sm 7sm 5sm 6sm 5sm 6sm 4sm 4sm 4sm 4sm 7sm 7sm 4sm 4sm 4sm 5sm 5sm 6sm 5sm 6sm 5sm 8sm 5sm 7sm 6sm 4sm 4sm 6sm 5sm 5sm 5sm 5sm 7sm 5sm 7sm 6sm 6sm 6sm 4sm 5sm 4sm 4sm 5sm 6sm 4sm 5sm 4sm 6sm 4sm 3sm 6sm 4sm 5sm 7sm 6sm 5sm 7sm 7sm 5sm 4sm 5sm 7sm 5sm 5sm 
com.codahale.metrics.SnapshotTest.canAlsoBeCreatedFromACollectionOfLongs 8sm 5sm 5sm 5sm 6sm 6sm 5sm 5sm 5sm 5sm 6sm 6sm 5sm 6sm 7sm 8sm 5sm 8sm 5sm 5sm 8sm 6sm 5sm 6sm 5sm 5sm 5sm 5sm 8sm 5sm 6sm 5sm 5sm 5sm 6sm 7sm 5sm 9sm 6sm 5sm 5sm 8sm 5sm 5sm 6sm 5sm 5sm 6sm 5sm 5sm 5sm 5sm 6sm 8sm 6sm 8sm 4sm 9sm 6sm 8sm 8sm 5sm 6sm 7sm 6sm 5sm 5sm 6sm 9sm 5sm 9sm 5sm 8sm 5sm 6sm 5sm 5sm 6sm 5sm 8sm 6sm 6sm 5sm 9sm 5sm 5sm 8sm 6sm 5sm 8sm 8sm 5sm 9sm 8sm 5sm 6sm 6sm 9sm 5sm 5sm 
com.codahale.metrics.RatioGaugeTest.ratiosAreHumanReadable 6sm 4sm 4sm 4sm 3sm 4sm 3sm 4sm 4sm 4sm 5sm 4sm 3sm 4sm 5sm 6sm 4sm 6sm 4sm 5sm 6sm 4sm 4sm 5sm 4sm 4sm 4sm 5sm 6sm 4sm 5sm 4sm 4sm 4sm 4sm 4sm 4sm 7sm 4sm 3sm 4sm 6sm 4sm 4sm 3sm 4sm 4sm 5sm 4sm 4sm 4sm 3sm 5sm 6sm 5sm 6sm 3sm 7sm 5sm 6sm 7sm 4sm 4sm 5sm 4sm 4sm 3sm 4sm 7sm 4sm 8sm 3sm 6sm 4sm 3sm 4sm 5sm 4sm 4sm 5sm 4sm 4sm 4sm 6sm 3sm 4sm 6sm 4sm 4sm 6sm 6sm 4sm 7sm 6sm 4sm 4sm 4sm 6sm 3sm 3sm 
