org.la4j.matrix.sparse.CRSMatrixTest.testDeterminant_5x5 16ms 16ms 15ms 98ms 213ms 15ms 18ms 19ms 16ms 15ms 16ms 19ms 15ms 131ms 15ms 15ms 15ms 15ms 15ms 15ms 240ms 15ms 15ms 15ms 15ms 16ms 15ms 240ms 244ms 18ms 15ms 15ms 15ms 15ms 15ms 18ms 15ms 15ms 16ms 249ms 11ms 18ms 15ms 16ms 16ms 261ms 11ms 245ms 15ms 16ms 18ms 15ms 15ms 16ms 15ms 214ms 287ms 240ms 15ms 18ms 15ms 15ms 12ms 15ms 15ms 251ms 16ms 16ms 18ms 240ms 15ms 18ms 12ms 231ms 15ms 18ms 15ms 15ms 15ms 15ms 15ms 15ms 12ms 15ms 287ms 239ms 18ms 18ms 15ms 15ms 16ms 15ms 18ms 16ms 11ms 18ms 283ms 15ms 248ms 15ms 
org.la4j.matrix.sparse.CRSMatrixTest.testColumnAccess_2x4 15ms 15ms 17ms 15ms 16ms 25ms 19ms 14ms 14ms 15ms 15ms 30ms 15ms 16ms 15ms 15ms 107ms 17ms 11ms 11ms 14ms 15ms 16ms 116ms 16ms 15ms 23ms 16ms 15ms 15ms 11ms 15ms 121ms 14ms 121ms 15ms 14ms 16ms 15ms 14ms 11ms 14ms 14ms 15ms 17ms 15ms 11ms 17ms 15ms 120ms 117ms 15ms 15ms 14ms 14ms 17ms 15ms 17ms 23ms 116ms 119ms 133ms 11ms 14ms 28ms 14ms 15ms 25ms 24ms 11ms 119ms 14ms 11ms 15ms 15ms 15ms 128ms 15ms 14ms 110ms 16ms 15ms 11ms 15ms 14ms 14ms 14ms 133ms 22ms 15ms 15ms 14ms 15ms 14ms 12ms 15ms 15ms 11ms 14ms 11ms 
org.la4j.io.MatrixMarketStreamTest.testMatrix_2x5 12ms 12ms 12ms 11ms 12ms 12ms 11ms 11ms 12ms 12ms 12ms 12ms 12ms 12ms 11ms 11ms 13ms 12ms 12ms 15ms 12ms 12ms 12ms 12ms 11ms 11ms 12ms 11ms 12ms 12ms 13ms 11ms 11ms 11ms 11ms 11ms 11ms 12ms 12ms 11ms 12ms 12ms 11ms 12ms 12ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 12ms 12ms 11ms 11ms 12ms 11ms 12ms 12ms 12ms 12ms 11ms 12ms 11ms 12ms 12ms 11ms 12ms 11ms 12ms 11ms 12ms 12ms 12ms 11ms 13ms 12ms 11ms 11ms 12ms 11ms 11ms 12ms 12ms 12ms 12ms 13ms 12ms 11ms 11ms 12ms 11ms 11ms 12ms 12ms 15ms 11ms 16ms 
org.la4j.matrix.sparse.CCSMatrixTest.testBlank_3x3 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 10ms 10ms 11ms 11ms 11ms 11ms 12ms 11ms 11ms 11ms 11ms 10ms 10ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 10ms 11ms 11ms 11ms 10ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 10ms 10ms 12ms 11ms 11ms 11ms 10ms 10ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 11ms 11ms 10ms 11ms 11ms 10ms 11ms 11ms 11ms 11ms 11ms 11ms 10ms 11ms 10ms 11ms 12ms 10ms 11ms 
org.la4j.matrix.dense.Basic1DMatrixTest.testDeterminant_5x5 10ms 11ms 10ms 10ms 10ms 10ms 11ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 10ms 
org.la4j.matrix.sparse.CRSMatrixTest.testMultiply_4x9_9x4 10ms 11ms 10ms 11ms 10ms 10ms 11ms 10ms 11ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 11ms 11ms 10ms 10ms 10ms 10ms 11ms 10ms 11ms 10ms 11ms 10ms 10ms 10ms 11ms 10ms 11ms 10ms 10ms 10ms 11ms 11ms 11ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 11ms 10ms 10ms 11ms 10ms 11ms 10ms 12ms 12ms 10ms 10ms 10ms 11ms 10ms 13ms 11ms 10ms 11ms 10ms 11ms 13ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 11ms 10ms 10ms 11ms 10ms 11ms 11ms 10ms 10ms 19ms 10ms 10ms 10ms 10ms 11ms 10ms 12ms 10ms 10ms 10ms 11ms 
org.la4j.matrix.dense.Basic1DMatrixTest.testSwap_3x3 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 9ms 9ms 10ms 13ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 9ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 9ms 10ms 10ms 10ms 9ms 10ms 9ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 9ms 10ms 10ms 10ms 9ms 10ms 9ms 9ms 10ms 9ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 11ms 11ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 9ms 9ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 
org.la4j.factory.CCSFactoryTest.testCreateConstantMatrix_4x1 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 8ms 9ms 8ms 9ms 8ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 8ms 9ms 8ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 13ms 8ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 8ms 9ms 8ms 12ms 8ms 9ms 9ms 9ms 8ms 8ms 9ms 9ms 8ms 10ms 9ms 9ms 9ms 8ms 9ms 9ms 8ms 9ms 8ms 11ms 8ms 8ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 8ms 8ms 9ms 9ms 
org.la4j.factory.CRSFactoryTest.testCreateMatrixFromArray 10ms 10ms 10ms 9ms 9ms 9ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 9ms 10ms 9ms 9ms 10ms 11ms 9ms 10ms 10ms 10ms 9ms 9ms 10ms 9ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 11ms 9ms 10ms 10ms 10ms 10ms 10ms 9ms 9ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 9ms 10ms 8ms 10ms 10ms 10ms 9ms 9ms 10ms 8ms 10ms 10ms 8ms 9ms 9ms 10ms 9ms 10ms 9ms 11ms 10ms 10ms 9ms 10ms 9ms 9ms 10ms 9ms 10ms 9ms 
org.la4j.matrix.sparse.CCSMatrixTest.testRank_0x0 10ms 11ms 11ms 10ms 10ms 11ms 11ms 10ms 11ms 10ms 10ms 11ms 10ms 11ms 11ms 11ms 10ms 11ms 11ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 11ms 10ms 11ms 10ms 11ms 10ms 11ms 10ms 11ms 10ms 11ms 11ms 10ms 11ms 11ms 10ms 10ms 10ms 10ms 11ms 10ms 11ms 10ms 10ms 11ms 10ms 11ms 11ms 12ms 10ms 11ms 10ms 10ms 10ms 11ms 10ms 11ms 11ms 10ms 10ms 11ms 10ms 10ms 10ms 11ms 11ms 11ms 11ms 10ms 11ms 11ms 10ms 11ms 11ms 10ms 11ms 12ms 11ms 10ms 10ms 11ms 11ms 10ms 10ms 11ms 10ms 11ms 10ms 11ms 10ms 10ms 11ms 11ms 10ms 
org.la4j.matrix.sparse.CRSMatrixTest.testDiagonalProduct_3x3 10ms 10ms 10ms 11ms 10ms 11ms 11ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 11ms 241ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 11ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 11ms 11ms 10ms 10ms 11ms 10ms 11ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 11ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 11ms 11ms 10ms 10ms 10ms 11ms 11ms 11ms 10ms 10ms 11ms 10ms 
