com.codahale.metrics.ClockTest.userTimeClock 16sm 25sm 17sm 17sm 16sm 25sm 16sm 18sm 17sm 18sm 17sm 16sm 17sm 24sm 23sm 17sm 18sm 26sm 16sm 17sm 16sm 24sm 17sm 25sm 17sm 17sm 16sm 18sm 17sm 26sm 17sm 16sm 16sm 17sm 17sm 18sm 17sm 18sm 18sm 16sm 17sm 16sm 17sm 17sm 17sm 26sm 26sm 26sm 16sm 17sm 16sm 17sm 18sm 16sm 25sm 17sm 17sm 17sm 17sm 19sm 27sm 17sm 17sm 18sm 17sm 17sm 17sm 17sm 18sm 22sm 26sm 17sm 17sm 23sm 17sm 17sm 25sm 17sm 18sm 17sm 16sm 18sm 25sm 18sm 16sm 18sm 25sm 18sm 17sm 18sm 19sm 24sm 17sm 16sm 17sm 24sm 17sm 16sm 17sm 17sm 
com.codahale.metrics.MetricRegistryTest.hasAMapOfRegisteredHistograms 84sm 97sm 80sm 86sm 85sm 97sm 82sm 83sm 82sm 89sm 85sm 84sm 83sm 118sm 111sm 84sm 82sm 120sm 82sm 85sm 82sm 120sm 80sm 87sm 86sm 85sm 87sm 84sm 82sm 120sm 83sm 86sm 81sm 82sm 81sm 86sm 84sm 84sm 86sm 82sm 89sm 82sm 85sm 81sm 86sm 86sm 93sm 90sm 82sm 84sm 85sm 85sm 84sm 81sm 118sm 84sm 81sm 84sm 84sm 82sm 91sm 80sm 84sm 83sm 84sm 84sm 82sm 81sm 83sm 97sm 96sm 83sm 83sm 102sm 82sm 83sm 122sm 84sm 83sm 85sm 84sm 89sm 88sm 86sm 85sm 82sm 108sm 82sm 85sm 87sm 89sm 107sm 81sm 83sm 84sm 93sm 88sm 81sm 80sm 84sm 
com.codahale.metrics.MetricRegistryTest.hasAMapOfRegisteredCounters 4sm 7sm 4sm 5sm 4sm 7sm 4sm 5sm 5sm 4sm 5sm 4sm 5sm 6sm 7sm 4sm 5sm 8sm 5sm 4sm 5sm 8sm 5sm 7sm 5sm 5sm 5sm 5sm 5sm 6sm 5sm 4sm 5sm 5sm 5sm 5sm 5sm 4sm 5sm 5sm 5sm 4sm 4sm 5sm 4sm 8sm 9sm 7sm 4sm 5sm 4sm 5sm 5sm 5sm 7sm 5sm 5sm 4sm 5sm 6sm 8sm 5sm 5sm 4sm 4sm 5sm 5sm 5sm 4sm 6sm 8sm 5sm 5sm 7sm 4sm 4sm 8sm 5sm 5sm 5sm 5sm 4sm 8sm 5sm 5sm 5sm 6sm 5sm 4sm 5sm 5sm 8sm 5sm 5sm 4sm 7sm 4sm 5sm 5sm 5sm 
com.codahale.metrics.SnapshotTest.calculatesTheStdDev 8sm 9sm 7sm 7sm 8sm 10sm 7sm 13sm 7sm 8sm 11sm 7sm 7sm 9sm 13sm 10sm 7sm 12sm 7sm 7sm 8sm 11sm 14sm 9sm 9sm 9sm 7sm 12sm 8sm 18sm 9sm 8sm 7sm 8sm 8sm 8sm 7sm 7sm 8sm 7sm 8sm 9sm 8sm 7sm 7sm 11sm 10sm 9sm 8sm 8sm 7sm 8sm 8sm 7sm 9sm 7sm 7sm 8sm 7sm 7sm 9sm 8sm 11sm 8sm 7sm 8sm 9sm 7sm 7sm 10sm 10sm 7sm 8sm 9sm 7sm 11sm 10sm 8sm 7sm 8sm 9sm 7sm 12sm 8sm 7sm 9sm 9sm 7sm 7sm 7sm 8sm 10sm 8sm 7sm 7sm 10sm 9sm 7sm 8sm 15sm 
com.codahale.metrics.JmxAttributeGaugeTest.returnsAJmxAttribute 17sm 26sm 19sm 17sm 17sm 26sm 16sm 19sm 17sm 18sm 27sm 16sm 19sm 23sm 27sm 17sm 18sm 25sm 17sm 16sm 17sm 25sm 17sm 17sm 28sm 17sm 18sm 28sm 24sm 25sm 18sm 17sm 26sm 18sm 26sm 18sm 17sm 16sm 25sm 17sm 18sm 28sm 27sm 19sm 19sm 26sm 27sm 27sm 17sm 19sm 17sm 17sm 20sm 26sm 24sm 18sm 17sm 18sm 17sm 18sm 27sm 18sm 18sm 27sm 20sm 19sm 24sm 18sm 17sm 27sm 18sm 17sm 18sm 24sm 19sm 18sm 26sm 18sm 17sm 19sm 19sm 17sm 26sm 27sm 17sm 18sm 25sm 20sm 19sm 18sm 18sm 27sm 17sm 27sm 18sm 27sm 27sm 17sm 16sm 17sm 
com.codahale.metrics.HistogramTest.updatesTheCountOnUpdates 7sm 11sm 6sm 7sm 7sm 10sm 6sm 7sm 7sm 7sm 11sm 7sm 7sm 10sm 11sm 7sm 7sm 10sm 6sm 7sm 7sm 10sm 7sm 7sm 11sm 7sm 7sm 11sm 9sm 11sm 8sm 6sm 11sm 6sm 11sm 7sm 7sm 6sm 10sm 8sm 6sm 11sm 11sm 6sm 7sm 10sm 11sm 11sm 6sm 7sm 7sm 7sm 7sm 11sm 10sm 7sm 6sm 7sm 7sm 7sm 11sm 7sm 7sm 11sm 7sm 7sm 9sm 7sm 7sm 12sm 7sm 7sm 7sm 8sm 7sm 7sm 11sm 6sm 7sm 6sm 7sm 6sm 11sm 11sm 8sm 7sm 9sm 7sm 7sm 7sm 7sm 9sm 7sm 11sm 7sm 10sm 11sm 7sm 6sm 7sm 
com.codahale.metrics.MetricRegistryListenerTest.noOpsOnTimerAdded 6sm 8sm 6sm 5sm 5sm 8sm 5sm 6sm 6sm 5sm 8sm 5sm 6sm 8sm 8sm 5sm 6sm 8sm 5sm 5sm 5sm 8sm 5sm 5sm 7sm 6sm 6sm 9sm 6sm 8sm 6sm 5sm 8sm 5sm 8sm 6sm 5sm 5sm 6sm 5sm 5sm 9sm 7sm 5sm 5sm 9sm 9sm 9sm 5sm 5sm 5sm 5sm 5sm 8sm 8sm 6sm 6sm 6sm 5sm 6sm 8sm 6sm 6sm 9sm 5sm 6sm 7sm 5sm 5sm 8sm 6sm 6sm 5sm 7sm 5sm 5sm 8sm 5sm 5sm 5sm 6sm 5sm 8sm 8sm 5sm 5sm 6sm 6sm 5sm 5sm 6sm 7sm 5sm 8sm 6sm 8sm 9sm 6sm 5sm 5sm 
com.codahale.metrics.ConsoleReporterTest.reportsMeterValues 15sm 21sm 15sm 15sm 15sm 22sm 14sm 14sm 15sm 16sm 21sm 15sm 16sm 20sm 22sm 14sm 16sm 22sm 14sm 15sm 15sm 22sm 15sm 16sm 20sm 15sm 16sm 23sm 19sm 21sm 15sm 14sm 20sm 15sm 22sm 16sm 14sm 14sm 20sm 14sm 15sm 22sm 21sm 15sm 15sm 21sm 24sm 22sm 15sm 15sm 15sm 15sm 15sm 20sm 21sm 14sm 15sm 15sm 14sm 16sm 22sm 15sm 14sm 22sm 14sm 15sm 21sm 16sm 14sm 23sm 16sm 16sm 15sm 20sm 15sm 14sm 22sm 16sm 15sm 14sm 14sm 14sm 22sm 23sm 15sm 15sm 21sm 14sm 14sm 16sm 15sm 20sm 15sm 23sm 15sm 23sm 23sm 15sm 14sm 15sm 
com.codahale.metrics.SnapshotTest.hasAp999 4sm 8sm 5sm 5sm 5sm 8sm 5sm 5sm 5sm 6sm 6sm 5sm 4sm 6sm 7sm 4sm 6sm 6sm 5sm 6sm 5sm 6sm 4sm 5sm 7sm 5sm 4sm 6sm 4sm 7sm 5sm 5sm 6sm 3sm 7sm 5sm 4sm 6sm 7sm 5sm 5sm 8sm 7sm 4sm 5sm 6sm 6sm 7sm 4sm 5sm 4sm 4sm 6sm 6sm 8sm 4sm 5sm 4sm 5sm 5sm 6sm 5sm 4sm 6sm 4sm 4sm 6sm 5sm 4sm 6sm 4sm 5sm 6sm 5sm 4sm 5sm 6sm 4sm 5sm 4sm 4sm 4sm 7sm 7sm 4sm 5sm 6sm 5sm 4sm 5sm 5sm 6sm 4sm 8sm 5sm 7sm 7sm 5sm 4sm 4sm 
com.codahale.metrics.SnapshotTest.canAlsoBeCreatedFromACollectionOfLongs 5sm 10sm 6sm 5sm 6sm 10sm 5sm 5sm 5sm 6sm 9sm 6sm 5sm 9sm 8sm 5sm 6sm 7sm 5sm 5sm 6sm 9sm 6sm 6sm 9sm 6sm 6sm 8sm 5sm 8sm 5sm 6sm 8sm 6sm 9sm 5sm 5sm 5sm 5sm 5sm 6sm 10sm 9sm 5sm 5sm 8sm 8sm 10sm 5sm 6sm 5sm 5sm 6sm 9sm 9sm 5sm 6sm 6sm 5sm 5sm 8sm 6sm 5sm 8sm 5sm 5sm 5sm 5sm 5sm 9sm 5sm 6sm 5sm 6sm 5sm 5sm 8sm 6sm 6sm 5sm 5sm 5sm 9sm 9sm 5sm 5sm 7sm 6sm 5sm 5sm 5sm 6sm 5sm 10sm 5sm 9sm 8sm 6sm 6sm 5sm 
com.codahale.metrics.RatioGaugeTest.ratiosAreHumanReadable 4sm 8sm 4sm 4sm 4sm 7sm 4sm 4sm 3sm 5sm 6sm 5sm 5sm 7sm 6sm 4sm 4sm 6sm 5sm 4sm 3sm 7sm 3sm 5sm 7sm 4sm 4sm 7sm 4sm 7sm 4sm 4sm 6sm 4sm 6sm 4sm 4sm 4sm 3sm 4sm 5sm 9sm 7sm 3sm 4sm 6sm 6sm 7sm 5sm 4sm 4sm 4sm 4sm 7sm 6sm 3sm 4sm 4sm 4sm 3sm 7sm 4sm 4sm 6sm 4sm 4sm 4sm 4sm 4sm 7sm 4sm 4sm 4sm 4sm 4sm 4sm 7sm 5sm 5sm 4sm 4sm 4sm 6sm 5sm 4sm 3sm 6sm 4sm 4sm 5sm 4sm 4sm 3sm 8sm 4sm 6sm 6sm 4sm 4sm 4sm 
