com.codahale.metrics.ClockTest.userTimeClock 19sm 20sm 19sm 19sm 26sm 17sm 19sm 18sm 19sm 26sm 20sm 19sm 19sm 18sm 19sm 18sm 19sm 26sm 18sm 17sm 28sm 18sm 18sm 18sm 19sm 17sm 26sm 19sm 18sm 19sm 19sm 19sm 19sm 29sm 17sm 19sm 18sm 19sm 19sm 26sm 18sm 19sm 28sm 17sm 17sm 28sm 19sm 18sm 18sm 20sm 18sm 17sm 27sm 19sm 18sm 18sm 17sm 18sm 29sm 17sm 19sm 19sm 28sm 27sm 17sm 23sm 17sm 29sm 19sm 19sm 17sm 18sm 29sm 20sm 18sm 19sm 20sm 18sm 28sm 18sm 18sm 28sm 24sm 18sm 20sm 18sm 18sm 27sm 18sm 18sm 18sm 18sm 19sm 18sm 19sm 20sm 20sm 19sm 18sm 18sm 
com.codahale.metrics.MetricRegistryTest.hasAMapOfRegisteredHistograms 85sm 85sm 84sm 97sm 105sm 90sm 89sm 87sm 86sm 106sm 86sm 87sm 87sm 86sm 85sm 89sm 86sm 108sm 90sm 85sm 83sm 85sm 84sm 84sm 93sm 86sm 115sm 84sm 85sm 85sm 86sm 84sm 86sm 112sm 85sm 88sm 84sm 90sm 85sm 105sm 84sm 91sm 91sm 84sm 84sm 119sm 91sm 85sm 85sm 85sm 109sm 90sm 109sm 84sm 84sm 87sm 84sm 86sm 112sm 83sm 88sm 86sm 113sm 110sm 88sm 120sm 86sm 106sm 85sm 89sm 84sm 86sm 107sm 86sm 86sm 85sm 86sm 86sm 118sm 84sm 87sm 108sm 106sm 83sm 85sm 93sm 88sm 93sm 86sm 84sm 84sm 86sm 86sm 86sm 86sm 87sm 88sm 85sm 89sm 86sm 
com.codahale.metrics.MetricRegistryTest.hasAMapOfRegisteredCounters 8sm 11sm 8sm 9sm 12sm 4sm 9sm 11sm 12sm 11sm 9sm 10sm 8sm 10sm 9sm 9sm 9sm 12sm 5sm 12sm 19sm 8sm 8sm 9sm 9sm 9sm 6sm 8sm 9sm 9sm 8sm 10sm 10sm 9sm 9sm 5sm 8sm 5sm 12sm 10sm 12sm 5sm 11sm 9sm 14sm 11sm 6sm 8sm 15sm 12sm 5sm 4sm 20sm 9sm 16sm 9sm 9sm 9sm 13sm 8sm 11sm 8sm 12sm 11sm 5sm 12sm 10sm 12sm 8sm 5sm 9sm 8sm 14sm 9sm 8sm 8sm 9sm 9sm 9sm 14sm 9sm 12sm 11sm 10sm 9sm 5sm 11sm 12sm 9sm 8sm 9sm 8sm 8sm 9sm 8sm 11sm 11sm 30sm 6sm 9sm 
com.codahale.metrics.MeterApproximationTest.controlMeter15MinuteMeanApproximation[2] 10sm 11sm 11sm 15sm 11sm 10sm 10sm 9sm 16sm 16sm 10sm 10sm 9sm 9sm 9sm 10sm 10sm 12sm 10sm 15sm 10sm 10sm 10sm 10sm 15sm 10sm 11sm 11sm 11sm 11sm 10sm 15sm 10sm 11sm 11sm 9sm 9sm 10sm 15sm 9sm 16sm 10sm 15sm 11sm 10sm 14sm 10sm 9sm 10sm 14sm 10sm 9sm 13sm 9sm 10sm 10sm 11sm 9sm 15sm 14sm 14sm 9sm 16sm 15sm 10sm 15sm 10sm 15sm 9sm 9sm 13sm 10sm 16sm 11sm 10sm 9sm 11sm 10sm 10sm 9sm 10sm 15sm 14sm 11sm 12sm 10sm 14sm 16sm 10sm 10sm 10sm 9sm 10sm 10sm 11sm 9sm 10sm 15sm 11sm 10sm 
com.codahale.metrics.SnapshotTest.calculatesTheStdDev 4sm 3sm 4sm 7sm 6sm 4sm 4sm 3sm 7sm 7sm 4sm 4sm 3sm 3sm 3sm 4sm 4sm 5sm 4sm 7sm 4sm 5sm 4sm 4sm 7sm 4sm 6sm 5sm 4sm 5sm 4sm 6sm 4sm 4sm 4sm 3sm 3sm 4sm 7sm 5sm 7sm 4sm 6sm 4sm 4sm 6sm 4sm 4sm 4sm 5sm 4sm 4sm 6sm 3sm 5sm 3sm 4sm 4sm 7sm 7sm 6sm 3sm 6sm 7sm 3sm 7sm 4sm 7sm 4sm 4sm 4sm 3sm 7sm 4sm 4sm 4sm 5sm 4sm 4sm 4sm 4sm 7sm 7sm 5sm 4sm 4sm 6sm 7sm 4sm 5sm 4sm 4sm 4sm 4sm 4sm 3sm 4sm 7sm 4sm 4sm 
com.codahale.metrics.JmxAttributeGaugeTest.returnsAJmxAttribute 18sm 17sm 17sm 29sm 24sm 18sm 18sm 17sm 27sm 28sm 18sm 18sm 18sm 18sm 17sm 18sm 18sm 24sm 19sm 23sm 18sm 18sm 17sm 17sm 29sm 17sm 25sm 18sm 17sm 17sm 18sm 28sm 18sm 18sm 17sm 17sm 18sm 17sm 27sm 18sm 28sm 18sm 27sm 18sm 17sm 25sm 18sm 17sm 17sm 27sm 19sm 18sm 25sm 16sm 18sm 19sm 17sm 17sm 28sm 27sm 26sm 17sm 27sm 26sm 17sm 28sm 19sm 29sm 18sm 18sm 18sm 18sm 27sm 18sm 17sm 19sm 18sm 18sm 17sm 18sm 19sm 29sm 26sm 18sm 19sm 19sm 27sm 26sm 17sm 18sm 17sm 17sm 18sm 18sm 18sm 17sm 17sm 28sm 17sm 18sm 
com.codahale.metrics.HistogramTest.updatesTheCountOnUpdates 6sm 6sm 7sm 10sm 7sm 7sm 6sm 7sm 9sm 8sm 5sm 7sm 6sm 7sm 6sm 7sm 6sm 8sm 6sm 5sm 6sm 6sm 7sm 6sm 9sm 7sm 9sm 6sm 7sm 6sm 6sm 10sm 7sm 7sm 7sm 6sm 6sm 7sm 9sm 7sm 10sm 7sm 9sm 6sm 6sm 8sm 6sm 6sm 6sm 8sm 7sm 7sm 8sm 6sm 6sm 6sm 6sm 6sm 11sm 8sm 8sm 7sm 11sm 10sm 6sm 9sm 6sm 9sm 5sm 7sm 6sm 6sm 11sm 6sm 7sm 7sm 7sm 5sm 7sm 7sm 6sm 10sm 8sm 6sm 7sm 6sm 8sm 8sm 6sm 7sm 7sm 6sm 7sm 7sm 7sm 6sm 6sm 9sm 6sm 7sm 
com.codahale.metrics.MetricRegistryListenerTest.noOpsOnTimerAdded 5sm 6sm 5sm 8sm 6sm 5sm 5sm 6sm 8sm 8sm 5sm 6sm 5sm 6sm 6sm 6sm 5sm 6sm 5sm 6sm 6sm 5sm 6sm 6sm 8sm 5sm 7sm 6sm 5sm 6sm 5sm 9sm 5sm 6sm 5sm 5sm 5sm 6sm 8sm 6sm 9sm 6sm 8sm 6sm 5sm 8sm 5sm 6sm 6sm 8sm 5sm 6sm 7sm 5sm 5sm 5sm 5sm 6sm 10sm 8sm 8sm 6sm 9sm 8sm 6sm 8sm 6sm 8sm 5sm 7sm 5sm 5sm 9sm 6sm 5sm 6sm 6sm 5sm 6sm 5sm 5sm 8sm 7sm 5sm 6sm 6sm 8sm 7sm 6sm 6sm 6sm 5sm 5sm 5sm 5sm 5sm 5sm 8sm 6sm 5sm 
com.codahale.metrics.ConsoleReporterTest.reportsMeterValues 15sm 17sm 15sm 23sm 20sm 15sm 15sm 16sm 23sm 22sm 15sm 15sm 16sm 15sm 15sm 17sm 16sm 21sm 15sm 15sm 15sm 15sm 15sm 16sm 22sm 15sm 20sm 15sm 15sm 16sm 16sm 24sm 15sm 16sm 15sm 15sm 14sm 16sm 22sm 14sm 21sm 15sm 22sm 15sm 16sm 21sm 15sm 15sm 15sm 21sm 15sm 15sm 20sm 15sm 15sm 15sm 15sm 16sm 25sm 21sm 21sm 16sm 23sm 21sm 14sm 22sm 16sm 23sm 15sm 16sm 15sm 15sm 22sm 15sm 15sm 16sm 16sm 16sm 15sm 15sm 16sm 22sm 20sm 15sm 16sm 16sm 21sm 22sm 15sm 15sm 15sm 15sm 15sm 15sm 16sm 14sm 15sm 22sm 14sm 15sm 
com.codahale.metrics.SnapshotTest.hasAp999 5sm 6sm 4sm 8sm 6sm 5sm 5sm 4sm 9sm 9sm 7sm 6sm 5sm 5sm 4sm 4sm 5sm 7sm 4sm 5sm 6sm 5sm 5sm 5sm 8sm 5sm 7sm 5sm 5sm 5sm 6sm 7sm 6sm 5sm 5sm 5sm 4sm 4sm 9sm 5sm 8sm 5sm 7sm 5sm 4sm 7sm 5sm 5sm 5sm 7sm 5sm 4sm 8sm 5sm 5sm 4sm 5sm 5sm 10sm 7sm 9sm 5sm 9sm 8sm 5sm 8sm 6sm 9sm 5sm 5sm 5sm 5sm 9sm 5sm 5sm 5sm 6sm 5sm 5sm 5sm 5sm 8sm 8sm 5sm 5sm 6sm 7sm 8sm 5sm 5sm 5sm 5sm 4sm 5sm 5sm 4sm 5sm 8sm 4sm 5sm 
com.codahale.metrics.SnapshotTest.canAlsoBeCreatedFromACollectionOfLongs 5sm 7sm 6sm 21sm 7sm 10sm 10sm 6sm 10sm 9sm 7sm 5sm 6sm 6sm 10sm 6sm 7sm 7sm 11sm 6sm 6sm 6sm 6sm 7sm 13sm 6sm 11sm 6sm 7sm 6sm 7sm 8sm 6sm 6sm 10sm 9sm 6sm 9sm 10sm 6sm 9sm 10sm 9sm 6sm 5sm 8sm 9sm 6sm 6sm 7sm 23sm 12sm 7sm 6sm 5sm 6sm 6sm 10sm 11sm 8sm 10sm 6sm 10sm 9sm 10sm 10sm 6sm 10sm 6sm 13sm 6sm 6sm 9sm 6sm 6sm 6sm 10sm 6sm 5sm 6sm 6sm 9sm 9sm 6sm 6sm 15sm 7sm 10sm 6sm 6sm 6sm 9sm 6sm 7sm 7sm 5sm 6sm 9sm 10sm 6sm 
