com.codahale.metrics.ClockTest.userTimeClock 17sm 18sm 18sm 18sm 19sm 20sm 19sm 18sm 20sm 19sm 20sm 19sm 19sm 19sm 27sm 19sm 17sm 19sm 27sm 18sm 18sm 17sm 28sm 18sm 26sm 17sm 19sm 18sm 18sm 19sm 19sm 20sm 18sm 29sm 19sm 20sm 19sm 19sm 20sm 18sm 29sm 18sm 19sm 18sm 19sm 28sm 18sm 18sm 26sm 19sm 19sm 17sm 19sm 18sm 19sm 19sm 29sm 17sm 19sm 18sm 19sm 20sm 19sm 18sm 18sm 18sm 17sm 20sm 19sm 19sm 19sm 19sm 19sm 28sm 18sm 18sm 19sm 19sm 20sm 18sm 17sm 19sm 18sm 19sm 18sm 18sm 19sm 19sm 27sm 17sm 27sm 19sm 19sm 19sm 18sm 19sm 20sm 17sm 18sm 20sm 
com.codahale.metrics.MetricRegistryTest.hasAMapOfRegisteredHistograms 89sm 86sm 85sm 84sm 91sm 88sm 84sm 86sm 85sm 84sm 85sm 89sm 85sm 95sm 108sm 84sm 86sm 87sm 106sm 82sm 87sm 87sm 119sm 81sm 124sm 88sm 86sm 86sm 91sm 85sm 91sm 89sm 83sm 111sm 85sm 91sm 85sm 88sm 86sm 90sm 115sm 85sm 86sm 84sm 86sm 119sm 86sm 91sm 107sm 90sm 89sm 88sm 86sm 87sm 85sm 87sm 111sm 83sm 102sm 88sm 87sm 87sm 96sm 87sm 88sm 88sm 83sm 84sm 91sm 84sm 86sm 97sm 91sm 97sm 82sm 84sm 88sm 84sm 87sm 84sm 84sm 87sm 86sm 87sm 84sm 84sm 89sm 88sm 119sm 86sm 105sm 90sm 84sm 91sm 86sm 87sm 87sm 85sm 84sm 89sm 
com.codahale.metrics.MetricRegistryTest.hasAMapOfRegisteredCounters 4sm 9sm 13sm 8sm 8sm 10sm 13sm 12sm 11sm 11sm 9sm 5sm 14sm 7sm 9sm 10sm 10sm 10sm 11sm 9sm 11sm 6sm 12sm 9sm 7sm 6sm 11sm 9sm 5sm 8sm 5sm 6sm 9sm 11sm 10sm 5sm 9sm 9sm 9sm 14sm 7sm 10sm 12sm 8sm 10sm 15sm 9sm 5sm 10sm 5sm 7sm 5sm 9sm 9sm 9sm 13sm 11sm 9sm 5sm 11sm 9sm 12sm 5sm 9sm 5sm 6sm 8sm 9sm 5sm 9sm 8sm 5sm 6sm 9sm 12sm 10sm 9sm 9sm 10sm 11sm 18sm 12sm 12sm 9sm 8sm 8sm 9sm 6sm 12sm 9sm 13sm 6sm 9sm 6sm 9sm 9sm 9sm 10sm 9sm 6sm 
com.codahale.metrics.MeterApproximationTest.controlMeter15MinuteMeanApproximation[2] 9sm 10sm 16sm 10sm 16sm 10sm 13sm 9sm 10sm 16sm 10sm 10sm 15sm 15sm 10sm 11sm 12sm 12sm 15sm 11sm 14sm 11sm 15sm 11sm 15sm 9sm 12sm 11sm 10sm 9sm 9sm 10sm 9sm 14sm 10sm 10sm 11sm 10sm 10sm 12sm 15sm 12sm 18sm 11sm 10sm 15sm 10sm 9sm 14sm 10sm 10sm 10sm 10sm 9sm 10sm 15sm 15sm 10sm 10sm 15sm 11sm 18sm 10sm 10sm 10sm 11sm 9sm 10sm 10sm 9sm 10sm 9sm 11sm 10sm 10sm 11sm 10sm 10sm 10sm 15sm 11sm 17sm 10sm 10sm 10sm 9sm 10sm 11sm 15sm 11sm 12sm 12sm 10sm 12sm 10sm 13sm 10sm 11sm 10sm 10sm 
com.codahale.metrics.SnapshotTest.calculatesTheStdDev 3sm 4sm 6sm 4sm 7sm 4sm 6sm 4sm 4sm 6sm 4sm 4sm 7sm 7sm 4sm 4sm 4sm 4sm 7sm 4sm 6sm 3sm 7sm 4sm 5sm 3sm 5sm 4sm 4sm 4sm 3sm 3sm 3sm 6sm 4sm 4sm 4sm 4sm 4sm 5sm 7sm 4sm 7sm 4sm 3sm 7sm 4sm 4sm 6sm 4sm 4sm 4sm 3sm 3sm 4sm 8sm 7sm 4sm 4sm 7sm 4sm 7sm 4sm 4sm 4sm 4sm 3sm 4sm 3sm 4sm 4sm 4sm 4sm 4sm 4sm 4sm 4sm 4sm 4sm 7sm 4sm 7sm 4sm 4sm 4sm 3sm 4sm 4sm 7sm 4sm 5sm 5sm 4sm 4sm 3sm 4sm 4sm 4sm 4sm 4sm 
com.codahale.metrics.InstrumentedExecutorServiceTest.reportsTasksInformation 10sm 11sm 15sm 10sm 16sm 11sm 11sm 10sm 10sm 16sm 10sm 11sm 16sm 16sm 10sm 11sm 12sm 10sm 17sm 11sm 16sm 11sm 16sm 12sm 14sm 11sm 11sm 11sm 11sm 11sm 11sm 10sm 11sm 16sm 11sm 11sm 10sm 11sm 10sm 12sm 18sm 10sm 16sm 11sm 11sm 16sm 11sm 11sm 16sm 11sm 11sm 10sm 10sm 11sm 11sm 17sm 15sm 10sm 12sm 17sm 11sm 17sm 11sm 10sm 12sm 10sm 11sm 11sm 10sm 11sm 12sm 11sm 10sm 12sm 11sm 11sm 10sm 12sm 11sm 17sm 10sm 17sm 11sm 10sm 10sm 11sm 11sm 10sm 15sm 11sm 11sm 11sm 10sm 10sm 11sm 12sm 11sm 10sm 11sm 10sm 
com.codahale.metrics.JmxAttributeGaugeTest.returnsAJmxAttribute 18sm 18sm 26sm 17sm 26sm 18sm 24sm 18sm 16sm 26sm 17sm 17sm 26sm 27sm 18sm 18sm 19sm 17sm 25sm 18sm 26sm 18sm 27sm 18sm 25sm 18sm 26sm 18sm 18sm 17sm 18sm 18sm 17sm 26sm 18sm 18sm 17sm 18sm 18sm 26sm 28sm 18sm 26sm 18sm 18sm 26sm 17sm 25sm 27sm 18sm 19sm 18sm 18sm 17sm 18sm 26sm 27sm 16sm 19sm 29sm 18sm 27sm 19sm 18sm 19sm 18sm 17sm 18sm 18sm 17sm 17sm 18sm 18sm 17sm 17sm 26sm 18sm 18sm 18sm 27sm 18sm 27sm 17sm 17sm 17sm 18sm 18sm 18sm 25sm 17sm 25sm 25sm 17sm 17sm 19sm 19sm 18sm 18sm 17sm 18sm 
com.codahale.metrics.HistogramTest.updatesTheCountOnUpdates 5sm 6sm 8sm 6sm 8sm 5sm 6sm 5sm 5sm 8sm 6sm 6sm 9sm 9sm 6sm 5sm 6sm 6sm 7sm 6sm 8sm 5sm 9sm 5sm 7sm 5sm 7sm 4sm 6sm 5sm 6sm 4sm 4sm 8sm 7sm 5sm 5sm 5sm 5sm 7sm 8sm 5sm 9sm 7sm 6sm 7sm 5sm 6sm 8sm 6sm 6sm 6sm 5sm 6sm 6sm 8sm 8sm 5sm 5sm 9sm 5sm 7sm 6sm 5sm 6sm 6sm 6sm 6sm 5sm 6sm 5sm 5sm 6sm 4sm 6sm 9sm 5sm 5sm 5sm 8sm 5sm 9sm 5sm 5sm 5sm 6sm 5sm 6sm 7sm 5sm 7sm 6sm 5sm 6sm 5sm 6sm 5sm 6sm 6sm 6sm 
com.codahale.metrics.MetricRegistryListenerTest.noOpsOnTimerAdded 5sm 5sm 7sm 5sm 7sm 5sm 5sm 5sm 4sm 7sm 6sm 5sm 8sm 7sm 6sm 5sm 5sm 5sm 7sm 5sm 7sm 5sm 7sm 6sm 7sm 5sm 5sm 4sm 5sm 4sm 5sm 4sm 4sm 7sm 5sm 5sm 4sm 5sm 5sm 5sm 8sm 5sm 7sm 5sm 4sm 7sm 5sm 6sm 7sm 5sm 5sm 5sm 5sm 6sm 5sm 8sm 7sm 5sm 6sm 7sm 5sm 7sm 5sm 5sm 5sm 5sm 6sm 4sm 5sm 5sm 4sm 5sm 5sm 4sm 6sm 6sm 5sm 5sm 5sm 7sm 4sm 8sm 5sm 4sm 5sm 6sm 5sm 5sm 7sm 4sm 6sm 5sm 4sm 5sm 4sm 5sm 4sm 5sm 6sm 5sm 
com.codahale.metrics.ConsoleReporterTest.reportsMeterValues 14sm 14sm 20sm 14sm 20sm 15sm 14sm 14sm 14sm 21sm 14sm 14sm 22sm 20sm 15sm 14sm 15sm 14sm 21sm 14sm 20sm 14sm 21sm 15sm 19sm 14sm 19sm 15sm 15sm 15sm 14sm 14sm 13sm 21sm 15sm 15sm 14sm 14sm 15sm 14sm 22sm 14sm 22sm 15sm 13sm 20sm 14sm 18sm 20sm 14sm 14sm 14sm 15sm 13sm 14sm 21sm 21sm 14sm 15sm 21sm 15sm 21sm 16sm 14sm 16sm 14sm 14sm 14sm 14sm 15sm 15sm 14sm 14sm 13sm 15sm 19sm 16sm 14sm 14sm 22sm 13sm 23sm 14sm 14sm 14sm 15sm 15sm 14sm 20sm 14sm 19sm 19sm 14sm 14sm 15sm 14sm 15sm 14sm 14sm 15sm 
com.codahale.metrics.SnapshotTest.hasAp999 9sm 8sm 11sm 8sm 11sm 11sm 9sm 9sm 8sm 11sm 9sm 10sm 15sm 21sm 8sm 8sm 13sm 11sm 11sm 8sm 11sm 8sm 23sm 13sm 14sm 8sm 11sm 10sm 8sm 8sm 9sm 8sm 7sm 16sm 8sm 8sm 9sm 10sm 8sm 7sm 13sm 9sm 12sm 10sm 9sm 11sm 10sm 11sm 12sm 9sm 8sm 13sm 10sm 8sm 10sm 18sm 11sm 12sm 10sm 12sm 9sm 12sm 11sm 10sm 14sm 11sm 7sm 8sm 8sm 9sm 9sm 11sm 9sm 9sm 8sm 12sm 13sm 16sm 9sm 11sm 24sm 11sm 10sm 9sm 9sm 8sm 8sm 11sm 11sm 8sm 10sm 10sm 11sm 8sm 8sm 18sm 9sm 12sm 8sm 8sm 
com.codahale.metrics.SnapshotTest.canAlsoBeCreatedFromACollectionOfLongs 5sm 6sm 10sm 6sm 9sm 9sm 6sm 6sm 5sm 9sm 7sm 9sm 9sm 9sm 6sm 8sm 7sm 10sm 6sm 6sm 9sm 6sm 10sm 8sm 9sm 9sm 8sm 6sm 6sm 7sm 6sm 6sm 5sm 10sm 7sm 6sm 6sm 6sm 7sm 5sm 10sm 6sm 10sm 8sm 6sm 9sm 6sm 8sm 9sm 6sm 7sm 5sm 11sm 7sm 6sm 10sm 6sm 6sm 7sm 10sm 6sm 10sm 11sm 5sm 6sm 6sm 6sm 7sm 6sm 7sm 6sm 6sm 5sm 6sm 6sm 9sm 10sm 6sm 5sm 9sm 6sm 10sm 6sm 6sm 6sm 6sm 7sm 6sm 9sm 6sm 7sm 8sm 8sm 6sm 7sm 10sm 6sm 6sm 7sm 7sm 
com.codahale.metrics.RatioGaugeTest.ratiosAreHumanReadable 4sm 6sm 8sm 5sm 7sm 8sm 5sm 5sm 4sm 8sm 5sm 6sm 7sm 8sm 4sm 5sm 5sm 9sm 4sm 5sm 8sm 5sm 8sm 6sm 7sm 8sm 5sm 5sm 5sm 5sm 4sm 5sm 4sm 7sm 5sm 5sm 5sm 5sm 5sm 5sm 7sm 5sm 7sm 6sm 5sm 8sm 5sm 6sm 7sm 5sm 5sm 4sm 9sm 5sm 5sm 7sm 5sm 5sm 4sm 8sm 4sm 9sm 10sm 5sm 5sm 5sm 5sm 6sm 6sm 6sm 4sm 5sm 5sm 5sm 6sm 7sm 9sm 5sm 4sm 6sm 4sm 8sm 5sm 4sm 5sm 5sm 4sm 5sm 7sm 5sm 4sm 5sm 4sm 4sm 5sm 8sm 5sm 4sm 4sm 5sm 
com.codahale.metrics.RatioGaugeTest.calculatesTheRatioOfTheNumeratorToTheDenominator 5sm 4sm 6sm 6sm 7sm 6sm 4sm 5sm 5sm 8sm 6sm 6sm 6sm 9sm 5sm 5sm 5sm 6sm 4sm 5sm 9sm 5sm 8sm 5sm 8sm 7sm 4sm 4sm 5sm 5sm 4sm 5sm 5sm 8sm 5sm 5sm 5sm 4sm 5sm 4sm 6sm 5sm 7sm 6sm 4sm 8sm 5sm 5sm 7sm 5sm 5sm 5sm 9sm 5sm 6sm 8sm 5sm 5sm 5sm 9sm 4sm 9sm 10sm 5sm 5sm 5sm 4sm 5sm 5sm 6sm 4sm 4sm 5sm 3sm 4sm 6sm 9sm 5sm 5sm 6sm 4sm 8sm 4sm 5sm 5sm 5sm 4sm 6sm 7sm 5sm 5sm 6sm 5sm 4sm 5sm 7sm 5sm 4sm 4sm 6sm 
com.codahale.metrics.Slf4jReporterTest.reportsTimerValues 20sm 20sm 30sm 21sm 30sm 30sm 20sm 20sm 19sm 31sm 21sm 31sm 30sm 32sm 21sm 26sm 22sm 29sm 18sm 21sm 33sm 19sm 31sm 19sm 29sm 30sm 24sm 21sm 20sm 20sm 20sm 20sm 20sm 31sm 21sm 22sm 20sm 21sm 21sm 20sm 30sm 21sm 32sm 23sm 20sm 29sm 20sm 29sm 30sm 20sm 22sm 20sm 32sm 20sm 22sm 31sm 20sm 20sm 22sm 30sm 21sm 31sm 35sm 22sm 22sm 21sm 20sm 21sm 20sm 23sm 21sm 22sm 20sm 20sm 19sm 30sm 23sm 21sm 21sm 28sm 20sm 31sm 20sm 21sm 19sm 20sm 21sm 20sm 29sm 22sm 25sm 27sm 21sm 21sm 21sm 31sm 21sm 20sm 20sm 20sm 
com.codahale.metrics.Slf4jReporterTest.reportsCounterValues 3sm 3sm 6sm 4sm 5sm 5sm 4sm 3sm 4sm 6sm 4sm 6sm 6sm 6sm 3sm 5sm 5sm 5sm 3sm 4sm 6sm 3sm 6sm 4sm 8sm 5sm 4sm 3sm 4sm 4sm 4sm 4sm 4sm 6sm 4sm 4sm 4sm 3sm 4sm 3sm 6sm 4sm 6sm 5sm 3sm 7sm 3sm 5sm 5sm 3sm 5sm 3sm 7sm 4sm 4sm 6sm 5sm 3sm 3sm 5sm 4sm 5sm 6sm 4sm 5sm 3sm 3sm 3sm 3sm 5sm 4sm 4sm 4sm 3sm 4sm 5sm 4sm 4sm 4sm 6sm 4sm 6sm 3sm 4sm 3sm 4sm 4sm 3sm 6sm 4sm 3sm 5sm 4sm 4sm 4sm 6sm 4sm 4sm 3sm 4sm 
com.codahale.metrics.MetricRegistryTest.registersRecursiveMetricSets 7sm 6sm 9sm 7sm 9sm 9sm 7sm 5sm 6sm 9sm 6sm 9sm 9sm 9sm 6sm 7sm 8sm 9sm 6sm 6sm 10sm 6sm 9sm 6sm 11sm 9sm 7sm 6sm 7sm 6sm 7sm 6sm 6sm 10sm 6sm 6sm 7sm 6sm 7sm 7sm 9sm 7sm 10sm 8sm 6sm 10sm 6sm 8sm 9sm 6sm 7sm 6sm 10sm 6sm 7sm 10sm 6sm 5sm 6sm 8sm 7sm 10sm 10sm 7sm 7sm 6sm 6sm 6sm 6sm 7sm 7sm 6sm 6sm 6sm 7sm 10sm 6sm 6sm 6sm 10sm 6sm 10sm 6sm 6sm 6sm 7sm 7sm 6sm 10sm 7sm 6sm 8sm 6sm 6sm 6sm 10sm 6sm 6sm 6sm 6sm 
