com.codahale.metrics.ClockTest.userTimeClock 22sm 16sm 17sm 17sm 17sm 17sm 16sm 18sm 17sm 18sm 17sm 17sm 16sm 17sm 22sm 16sm 22sm 17sm 17sm 26sm 18sm 18sm 26sm 17sm 23sm 18sm 25sm 16sm 16sm 16sm 17sm 18sm 16sm 25sm 17sm 24sm 22sm 18sm 17sm 17sm 16sm 17sm 16sm 18sm 25sm 16sm 17sm 17sm 25sm 17sm 17sm 24sm 17sm 16sm 17sm 17sm 17sm 17sm 17sm 27sm 17sm 18sm 16sm 17sm 16sm 26sm 18sm 18sm 26sm 23sm 16sm 17sm 17sm 17sm 25sm 17sm 16sm 17sm 23sm 18sm 18sm 18sm 17sm 17sm 17sm 17sm 17sm 17sm 17sm 24sm 24sm 17sm 16sm 16sm 17sm 20sm 17sm 17sm 25sm 18sm 
com.codahale.metrics.MetricRegistryTest.hasAMapOfRegisteredHistograms 96sm 83sm 86sm 98sm 88sm 80sm 84sm 82sm 81sm 84sm 85sm 83sm 82sm 81sm 102sm 82sm 121sm 81sm 83sm 102sm 87sm 84sm 91sm 82sm 104sm 85sm 103sm 84sm 83sm 81sm 85sm 87sm 81sm 90sm 94sm 108sm 103sm 84sm 82sm 84sm 83sm 85sm 82sm 85sm 103sm 82sm 85sm 84sm 108sm 81sm 83sm 103sm 83sm 81sm 80sm 83sm 86sm 81sm 84sm 88sm 82sm 86sm 81sm 86sm 80sm 90sm 83sm 84sm 86sm 104sm 83sm 84sm 84sm 83sm 82sm 81sm 80sm 83sm 106sm 87sm 82sm 82sm 83sm 83sm 81sm 81sm 84sm 82sm 81sm 81sm 106sm 82sm 82sm 81sm 83sm 91sm 87sm 87sm 89sm 86sm 
com.codahale.metrics.MetricRegistryTest.hasAMapOfRegisteredCounters 7sm 5sm 4sm 6sm 4sm 5sm 4sm 5sm 4sm 5sm 5sm 4sm 5sm 5sm 6sm 4sm 7sm 5sm 4sm 6sm 4sm 5sm 6sm 5sm 6sm 5sm 6sm 5sm 4sm 5sm 4sm 4sm 5sm 6sm 7sm 6sm 6sm 4sm 5sm 4sm 4sm 4sm 5sm 4sm 7sm 4sm 5sm 5sm 6sm 4sm 4sm 6sm 5sm 4sm 5sm 6sm 4sm 5sm 5sm 7sm 5sm 5sm 5sm 5sm 4sm 6sm 5sm 4sm 7sm 6sm 4sm 5sm 4sm 6sm 4sm 5sm 5sm 4sm 6sm 4sm 4sm 5sm 4sm 5sm 5sm 4sm 5sm 5sm 4sm 4sm 7sm 5sm 5sm 5sm 4sm 6sm 6sm 4sm 6sm 5sm 
com.codahale.metrics.SnapshotTest.calculatesTheStdDev 10sm 8sm 9sm 10sm 7sm 8sm 7sm 7sm 14sm 9sm 8sm 15sm 11sm 8sm 10sm 6sm 9sm 8sm 7sm 10sm 7sm 14sm 9sm 7sm 8sm 8sm 10sm 14sm 7sm 11sm 7sm 6sm 7sm 10sm 10sm 15sm 10sm 7sm 7sm 9sm 7sm 7sm 8sm 7sm 9sm 7sm 7sm 12sm 9sm 7sm 7sm 9sm 7sm 7sm 7sm 8sm 7sm 7sm 8sm 9sm 7sm 8sm 7sm 8sm 7sm 14sm 8sm 8sm 9sm 9sm 7sm 8sm 7sm 14sm 7sm 8sm 11sm 7sm 8sm 13sm 10sm 7sm 7sm 7sm 7sm 7sm 7sm 7sm 7sm 6sm 10sm 7sm 8sm 8sm 13sm 10sm 12sm 7sm 9sm 7sm 
com.codahale.metrics.JmxAttributeGaugeTest.returnsAJmxAttribute 25sm 18sm 26sm 26sm 24sm 28sm 17sm 17sm 17sm 18sm 17sm 25sm 17sm 27sm 27sm 19sm 24sm 19sm 16sm 27sm 17sm 16sm 25sm 18sm 23sm 17sm 26sm 28sm 17sm 19sm 17sm 17sm 16sm 27sm 19sm 25sm 19sm 17sm 19sm 16sm 19sm 17sm 24sm 18sm 25sm 16sm 17sm 18sm 17sm 24sm 18sm 16sm 17sm 27sm 18sm 25sm 17sm 17sm 17sm 27sm 19sm 19sm 18sm 27sm 19sm 17sm 30sm 22sm 17sm 16sm 17sm 27sm 17sm 28sm 17sm 16sm 19sm 27sm 27sm 17sm 16sm 18sm 18sm 17sm 17sm 17sm 18sm 18sm 17sm 17sm 25sm 17sm 17sm 17sm 17sm 17sm 27sm 17sm 17sm 16sm 
com.codahale.metrics.HistogramTest.updatesTheCountOnUpdates 10sm 6sm 10sm 9sm 10sm 11sm 7sm 7sm 7sm 8sm 6sm 9sm 7sm 10sm 11sm 7sm 10sm 6sm 7sm 9sm 6sm 6sm 9sm 7sm 7sm 7sm 9sm 9sm 7sm 7sm 7sm 7sm 6sm 9sm 7sm 8sm 6sm 7sm 7sm 7sm 7sm 7sm 8sm 7sm 10sm 6sm 7sm 7sm 6sm 8sm 6sm 6sm 7sm 11sm 6sm 8sm 6sm 6sm 7sm 10sm 6sm 6sm 7sm 11sm 6sm 7sm 11sm 9sm 7sm 5sm 7sm 10sm 7sm 11sm 7sm 7sm 7sm 12sm 8sm 7sm 7sm 7sm 7sm 6sm 6sm 7sm 6sm 6sm 6sm 7sm 9sm 6sm 6sm 7sm 6sm 7sm 11sm 6sm 6sm 7sm 
com.codahale.metrics.MetricRegistryListenerTest.noOpsOnTimerAdded 8sm 5sm 8sm 8sm 6sm 9sm 5sm 5sm 5sm 6sm 5sm 6sm 6sm 9sm 7sm 6sm 7sm 5sm 5sm 7sm 5sm 6sm 7sm 5sm 6sm 5sm 7sm 7sm 5sm 5sm 5sm 5sm 5sm 8sm 6sm 5sm 5sm 5sm 5sm 5sm 5sm 5sm 7sm 5sm 8sm 5sm 5sm 6sm 5sm 6sm 5sm 5sm 5sm 8sm 5sm 7sm 5sm 5sm 5sm 7sm 5sm 4sm 5sm 7sm 6sm 5sm 9sm 7sm 6sm 4sm 5sm 9sm 5sm 8sm 5sm 5sm 5sm 8sm 5sm 5sm 6sm 5sm 5sm 4sm 5sm 6sm 5sm 5sm 5sm 4sm 5sm 5sm 6sm 5sm 5sm 5sm 8sm 5sm 5sm 5sm 
com.codahale.metrics.ConsoleReporterTest.reportsMeterValues 22sm 16sm 22sm 21sm 21sm 22sm 15sm 15sm 14sm 16sm 15sm 20sm 15sm 21sm 21sm 16sm 20sm 16sm 14sm 21sm 15sm 15sm 21sm 15sm 19sm 16sm 21sm 21sm 14sm 15sm 15sm 15sm 14sm 21sm 14sm 19sm 15sm 15sm 14sm 15sm 14sm 13sm 19sm 15sm 22sm 15sm 14sm 15sm 15sm 20sm 15sm 14sm 15sm 22sm 15sm 19sm 15sm 15sm 15sm 21sm 15sm 14sm 16sm 21sm 15sm 15sm 22sm 20sm 15sm 15sm 14sm 22sm 14sm 23sm 15sm 15sm 15sm 21sm 18sm 14sm 16sm 16sm 14sm 14sm 15sm 15sm 14sm 15sm 14sm 14sm 20sm 14sm 15sm 14sm 15sm 14sm 23sm 16sm 14sm 15sm 
com.codahale.metrics.SnapshotTest.hasAp999 6sm 5sm 7sm 7sm 7sm 7sm 4sm 4sm 3sm 5sm 4sm 7sm 4sm 6sm 7sm 4sm 7sm 5sm 4sm 6sm 4sm 4sm 7sm 4sm 7sm 4sm 7sm 6sm 4sm 4sm 4sm 4sm 4sm 6sm 5sm 6sm 5sm 4sm 4sm 4sm 5sm 4sm 6sm 5sm 6sm 4sm 5sm 4sm 4sm 7sm 5sm 4sm 4sm 7sm 5sm 7sm 5sm 4sm 4sm 6sm 4sm 4sm 4sm 6sm 5sm 4sm 6sm 4sm 4sm 4sm 5sm 7sm 4sm 7sm 4sm 5sm 4sm 7sm 6sm 5sm 4sm 6sm 4sm 4sm 4sm 4sm 4sm 4sm 4sm 5sm 6sm 4sm 5sm 5sm 4sm 4sm 7sm 5sm 4sm 4sm 
com.codahale.metrics.SnapshotTest.canAlsoBeCreatedFromACollectionOfLongs 9sm 6sm 9sm 9sm 6sm 8sm 6sm 6sm 5sm 5sm 5sm 5sm 5sm 9sm 8sm 5sm 8sm 5sm 5sm 8sm 5sm 5sm 8sm 5sm 6sm 5sm 8sm 9sm 5sm 6sm 6sm 6sm 6sm 8sm 5sm 5sm 5sm 5sm 6sm 6sm 5sm 5sm 5sm 5sm 8sm 5sm 5sm 6sm 5sm 6sm 6sm 5sm 5sm 8sm 6sm 5sm 5sm 5sm 6sm 8sm 5sm 5sm 5sm 8sm 5sm 5sm 8sm 6sm 6sm 5sm 5sm 8sm 5sm 8sm 6sm 6sm 5sm 9sm 6sm 5sm 6sm 5sm 6sm 5sm 5sm 5sm 5sm 5sm 5sm 5sm 6sm 5sm 6sm 5sm 6sm 5sm 9sm 6sm 5sm 5sm 
com.codahale.metrics.RatioGaugeTest.ratiosAreHumanReadable 7sm 5sm 7sm 6sm 4sm 6sm 4sm 4sm 4sm 4sm 3sm 4sm 3sm 7sm 6sm 4sm 6sm 4sm 4sm 6sm 4sm 4sm 6sm 4sm 4sm 3sm 6sm 7sm 4sm 4sm 4sm 4sm 4sm 6sm 4sm 4sm 4sm 4sm 5sm 4sm 4sm 3sm 3sm 4sm 6sm 5sm 3sm 4sm 4sm 4sm 4sm 3sm 4sm 6sm 4sm 4sm 4sm 4sm 4sm 7sm 3sm 4sm 5sm 6sm 4sm 4sm 6sm 5sm 5sm 4sm 4sm 6sm 4sm 6sm 4sm 4sm 4sm 7sm 4sm 4sm 4sm 4sm 4sm 4sm 4sm 3sm 4sm 4sm 3sm 4sm 4sm 3sm 4sm 4sm 4sm 4sm 7sm 4sm 3sm 4sm 
