com.codahale.metrics.ClockTest.userTimeClock 16sm 17sm 17sm 16sm 17sm 18sm 16sm 17sm 16sm 23sm 18sm 17sm 17sm 15sm 17sm 16sm 16sm 17sm 16sm 18sm 25sm 16sm 17sm 18sm 17sm 24sm 16sm 18sm 16sm 16sm 17sm 16sm 16sm 17sm 17sm 17sm 17sm 17sm 16sm 18sm 17sm 17sm 16sm 16sm 16sm 17sm 17sm 16sm 24sm 18sm 18sm 17sm 16sm 17sm 17sm 17sm 16sm 16sm 16sm 17sm 17sm 17sm 18sm 17sm 27sm 21sm 17sm 16sm 16sm 17sm 17sm 16sm 17sm 17sm 17sm 17sm 16sm 17sm 23sm 17sm 18sm 16sm 16sm 18sm 25sm 22sm 26sm 17sm 16sm 17sm 17sm 17sm 16sm 16sm 17sm 16sm 18sm 18sm 17sm 17sm 
com.codahale.metrics.MetricRegistryTest.hasAMapOfRegisteredHistograms 84sm 85sm 82sm 84sm 80sm 86sm 81sm 84sm 82sm 110sm 88sm 86sm 84sm 83sm 81sm 80sm 85sm 82sm 84sm 87sm 102sm 81sm 83sm 89sm 86sm 98sm 83sm 85sm 81sm 82sm 85sm 82sm 82sm 86sm 82sm 86sm 87sm 83sm 84sm 85sm 84sm 81sm 85sm 83sm 86sm 82sm 89sm 83sm 88sm 84sm 87sm 86sm 84sm 87sm 85sm 84sm 87sm 81sm 80sm 87sm 84sm 81sm 83sm 82sm 105sm 105sm 88sm 81sm 82sm 83sm 82sm 82sm 81sm 86sm 87sm 85sm 85sm 85sm 110sm 85sm 85sm 87sm 79sm 89sm 91sm 90sm 109sm 86sm 86sm 85sm 88sm 80sm 83sm 87sm 85sm 85sm 81sm 83sm 81sm 81sm 
com.codahale.metrics.MetricRegistryTest.hasAMapOfRegisteredCounters 4sm 4sm 5sm 5sm 5sm 5sm 5sm 5sm 5sm 6sm 5sm 5sm 5sm 5sm 5sm 5sm 5sm 4sm 4sm 4sm 7sm 5sm 4sm 5sm 5sm 6sm 4sm 4sm 5sm 5sm 5sm 5sm 5sm 5sm 5sm 5sm 4sm 4sm 4sm 5sm 5sm 5sm 5sm 5sm 4sm 5sm 5sm 4sm 8sm 5sm 4sm 4sm 5sm 4sm 5sm 5sm 4sm 5sm 5sm 5sm 5sm 5sm 5sm 5sm 7sm 7sm 5sm 5sm 5sm 5sm 4sm 5sm 4sm 4sm 5sm 4sm 5sm 4sm 7sm 5sm 5sm 4sm 5sm 5sm 7sm 7sm 7sm 5sm 5sm 5sm 4sm 4sm 5sm 6sm 5sm 5sm 4sm 5sm 5sm 5sm 
com.codahale.metrics.SnapshotTest.calculatesTheStdDev 7sm 8sm 7sm 7sm 8sm 13sm 8sm 8sm 7sm 14sm 12sm 7sm 7sm 7sm 7sm 8sm 7sm 7sm 8sm 7sm 10sm 8sm 7sm 7sm 8sm 9sm 8sm 6sm 7sm 8sm 17sm 8sm 8sm 7sm 9sm 7sm 8sm 6sm 13sm 8sm 8sm 7sm 7sm 15sm 8sm 8sm 7sm 7sm 9sm 7sm 8sm 7sm 7sm 13sm 8sm 8sm 7sm 8sm 7sm 7sm 13sm 14sm 8sm 8sm 9sm 9sm 7sm 7sm 7sm 7sm 7sm 9sm 7sm 11sm 8sm 11sm 7sm 7sm 17sm 8sm 12sm 8sm 7sm 9sm 10sm 9sm 10sm 8sm 9sm 8sm 8sm 7sm 8sm 12sm 7sm 8sm 7sm 10sm 7sm 7sm 
com.codahale.metrics.JmxAttributeGaugeTest.returnsAJmxAttribute 16sm 25sm 25sm 18sm 18sm 18sm 28sm 18sm 18sm 27sm 18sm 17sm 24sm 18sm 17sm 17sm 17sm 16sm 18sm 17sm 26sm 19sm 17sm 19sm 18sm 27sm 18sm 16sm 18sm 17sm 27sm 17sm 17sm 19sm 18sm 17sm 17sm 18sm 17sm 19sm 18sm 18sm 18sm 27sm 17sm 17sm 17sm 18sm 17sm 17sm 17sm 24sm 18sm 19sm 18sm 25sm 18sm 18sm 16sm 17sm 24sm 28sm 27sm 17sm 17sm 23sm 27sm 18sm 17sm 19sm 19sm 26sm 19sm 18sm 18sm 27sm 17sm 24sm 26sm 17sm 16sm 17sm 17sm 27sm 26sm 17sm 26sm 17sm 25sm 18sm 27sm 18sm 18sm 26sm 17sm 18sm 18sm 25sm 17sm 17sm 
com.codahale.metrics.HistogramTest.updatesTheCountOnUpdates 6sm 9sm 11sm 7sm 7sm 7sm 11sm 6sm 7sm 11sm 8sm 7sm 11sm 6sm 6sm 6sm 7sm 7sm 7sm 7sm 11sm 7sm 7sm 8sm 6sm 11sm 7sm 7sm 6sm 7sm 10sm 7sm 6sm 7sm 6sm 6sm 7sm 7sm 7sm 7sm 6sm 7sm 6sm 11sm 7sm 7sm 7sm 7sm 7sm 7sm 7sm 7sm 7sm 7sm 7sm 9sm 7sm 7sm 6sm 7sm 10sm 11sm 11sm 7sm 7sm 10sm 11sm 6sm 6sm 7sm 7sm 10sm 7sm 7sm 7sm 10sm 6sm 9sm 9sm 7sm 6sm 7sm 7sm 11sm 8sm 7sm 9sm 7sm 11sm 6sm 11sm 7sm 7sm 11sm 7sm 7sm 6sm 9sm 6sm 8sm 
com.codahale.metrics.MetricRegistryListenerTest.noOpsOnTimerAdded 6sm 8sm 8sm 5sm 5sm 5sm 8sm 5sm 5sm 8sm 6sm 5sm 8sm 5sm 5sm 5sm 5sm 5sm 5sm 6sm 8sm 5sm 5sm 5sm 5sm 8sm 5sm 6sm 5sm 5sm 7sm 5sm 5sm 5sm 5sm 5sm 6sm 5sm 6sm 5sm 5sm 6sm 6sm 7sm 6sm 5sm 6sm 5sm 5sm 5sm 5sm 6sm 6sm 5sm 6sm 7sm 6sm 6sm 5sm 4sm 6sm 9sm 8sm 5sm 5sm 6sm 7sm 6sm 5sm 5sm 5sm 9sm 5sm 5sm 5sm 6sm 5sm 6sm 8sm 6sm 5sm 5sm 5sm 8sm 7sm 5sm 7sm 6sm 9sm 5sm 8sm 5sm 5sm 7sm 5sm 6sm 6sm 7sm 5sm 5sm 
com.codahale.metrics.ConsoleReporterTest.reportsMeterValues 15sm 21sm 21sm 14sm 15sm 14sm 21sm 15sm 14sm 23sm 15sm 15sm 22sm 15sm 15sm 14sm 14sm 14sm 16sm 15sm 20sm 15sm 13sm 15sm 15sm 21sm 15sm 14sm 15sm 15sm 22sm 15sm 15sm 15sm 15sm 15sm 15sm 14sm 15sm 15sm 15sm 16sm 15sm 21sm 14sm 15sm 15sm 13sm 15sm 14sm 14sm 21sm 15sm 15sm 14sm 20sm 14sm 15sm 14sm 14sm 21sm 23sm 21sm 15sm 14sm 20sm 20sm 15sm 14sm 15sm 14sm 22sm 15sm 15sm 15sm 21sm 14sm 19sm 21sm 14sm 14sm 15sm 14sm 22sm 21sm 15sm 22sm 15sm 22sm 14sm 21sm 15sm 15sm 21sm 14sm 15sm 15sm 19sm 15sm 15sm 
com.codahale.metrics.SnapshotTest.hasAp999 4sm 7sm 7sm 4sm 4sm 5sm 6sm 4sm 4sm 6sm 5sm 4sm 7sm 4sm 4sm 5sm 4sm 5sm 3sm 4sm 5sm 4sm 4sm 4sm 5sm 7sm 5sm 5sm 4sm 5sm 6sm 5sm 4sm 4sm 4sm 4sm 5sm 5sm 4sm 5sm 4sm 3sm 4sm 6sm 4sm 5sm 4sm 4sm 5sm 4sm 4sm 4sm 4sm 4sm 4sm 6sm 4sm 4sm 4sm 3sm 5sm 6sm 7sm 4sm 4sm 5sm 6sm 4sm 4sm 3sm 5sm 7sm 4sm 5sm 5sm 6sm 4sm 6sm 6sm 4sm 5sm 4sm 5sm 6sm 5sm 4sm 7sm 4sm 7sm 4sm 7sm 4sm 4sm 6sm 5sm 4sm 4sm 7sm 5sm 4sm 
com.codahale.metrics.SnapshotTest.canAlsoBeCreatedFromACollectionOfLongs 6sm 9sm 10sm 5sm 5sm 5sm 8sm 6sm 5sm 9sm 6sm 6sm 9sm 6sm 5sm 5sm 5sm 5sm 5sm 5sm 8sm 5sm 6sm 5sm 6sm 9sm 6sm 5sm 6sm 6sm 9sm 5sm 5sm 5sm 6sm 6sm 5sm 5sm 5sm 6sm 5sm 5sm 6sm 8sm 5sm 5sm 4sm 5sm 6sm 5sm 5sm 6sm 5sm 6sm 5sm 5sm 5sm 5sm 5sm 5sm 6sm 8sm 9sm 5sm 5sm 5sm 8sm 5sm 5sm 5sm 5sm 9sm 5sm 5sm 6sm 6sm 5sm 5sm 8sm 5sm 5sm 5sm 5sm 9sm 6sm 6sm 8sm 6sm 9sm 5sm 9sm 5sm 6sm 8sm 5sm 5sm 6sm 5sm 5sm 5sm 
com.codahale.metrics.RatioGaugeTest.ratiosAreHumanReadable 4sm 7sm 8sm 4sm 4sm 4sm 7sm 4sm 4sm 7sm 4sm 4sm 6sm 4sm 4sm 4sm 4sm 4sm 4sm 4sm 6sm 3sm 3sm 4sm 5sm 7sm 4sm 4sm 4sm 4sm 6sm 4sm 4sm 4sm 4sm 4sm 4sm 4sm 4sm 4sm 4sm 3sm 5sm 7sm 3sm 4sm 3sm 4sm 5sm 4sm 4sm 5sm 4sm 4sm 4sm 4sm 3sm 4sm 4sm 4sm 5sm 7sm 6sm 3sm 3sm 4sm 7sm 3sm 4sm 4sm 4sm 6sm 4sm 4sm 4sm 5sm 3sm 4sm 6sm 3sm 4sm 4sm 4sm 7sm 5sm 4sm 6sm 4sm 7sm 4sm 7sm 4sm 4sm 6sm 4sm 4sm 4sm 4sm 3sm 4sm 
