org.scribe.extractors.BaseStringExtractorTest.shouldExtractBaseStringFromOAuthRequest 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 24ms 25ms 26ms 26ms 25ms 25ms 26ms 27ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 26ms 25ms 24ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 27ms 25ms 25ms 25ms 26ms 25ms 26ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 24ms 25ms 24ms 25ms 26ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 25ms 24ms 25ms 25ms 25ms 25ms 25ms 25ms 26ms 25ms 25ms 25ms 25ms 
org.scribe.utils.URLUtilsTest.shouldThrowExceptionIfStringToDecodeIsNull 16ms 16ms 15ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 17ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 15ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 15ms 16ms 16ms 16ms 16ms 17ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 15ms 15ms 16ms 16ms 16ms 16ms 16ms 17ms 16ms 16ms 17ms 16ms 16ms 16ms 16ms 15ms 16ms 16ms 16ms 16ms 15ms 17ms 
org.scribe.model.RequestTest.shouldSetPayloadAndHeaders 17ms 16ms 16ms 16ms 16ms 16ms 15ms 17ms 16ms 16ms 16ms 16ms 17ms 17ms 16ms 17ms 21ms 15ms 17ms 17ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 17ms 16ms 16ms 17ms 16ms 17ms 16ms 16ms 16ms 16ms 15ms 17ms 17ms 16ms 16ms 16ms 16ms 16ms 17ms 16ms 15ms 15ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 17ms 17ms 16ms 16ms 16ms 16ms 16ms 16ms 15ms 16ms 16ms 17ms 16ms 16ms 17ms 16ms 16ms 17ms 16ms 16ms 16ms 16ms 17ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 16ms 
org.scribe.utils.MapUtilsTest.shouldNotModifyTheOriginalMap 12ms 11ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 13ms 12ms 12ms 12ms 14ms 11ms 12ms 12ms 12ms 13ms 12ms 11ms 11ms 11ms 12ms 12ms 11ms 11ms 12ms 12ms 12ms 12ms 12ms 11ms 12ms 11ms 12ms 12ms 12ms 12ms 12ms 11ms 12ms 12ms 12ms 12ms 11ms 12ms 11ms 12ms 12ms 11ms 12ms 11ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 11ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 11ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 11ms 12ms 12ms 11ms 
org.scribe.model.ResponseTest.shouldParseBodyContentsOnlyOnce 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 14ms 13ms 13ms 13ms 13ms 14ms 15ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 14ms 13ms 13ms 13ms 14ms 13ms 13ms 13ms 14ms 13ms 13ms 13ms 13ms 13ms 12ms 13ms 13ms 13ms 13ms 14ms 13ms 14ms 13ms 13ms 13ms 14ms 14ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 14ms 13ms 14ms 13ms 13ms 14ms 13ms 13ms 13ms 13ms 13ms 13ms 14ms 13ms 13ms 13ms 13ms 14ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 14ms 13ms 13ms 13ms 13ms 
org.scribe.utils.PreconditionsTest.shouldThrowExceptionForNullStrings 8ms 8ms 7ms 8ms 8ms 7ms 8ms 7ms 8ms 8ms 8ms 8ms 9ms 8ms 8ms 8ms 9ms 8ms 8ms 8ms 8ms 8ms 8ms 11ms 8ms 8ms 7ms 7ms 8ms 8ms 8ms 7ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 7ms 8ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 7ms 8ms 7ms 8ms 8ms 8ms 7ms 8ms 8ms 7ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 7ms 7ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 7ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 
org.scribe.extractors.BaseStringExtractorTest.shouldThrowExceptionIfRquestHasNoOAuthParameters 8ms 8ms 7ms 8ms 8ms 7ms 8ms 7ms 8ms 8ms 7ms 8ms 7ms 8ms 8ms 7ms 7ms 7ms 7ms 7ms 8ms 7ms 8ms 12ms 7ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 8ms 7ms 8ms 7ms 8ms 7ms 8ms 7ms 7ms 8ms 7ms 8ms 7ms 7ms 7ms 8ms 8ms 8ms 7ms 7ms 8ms 7ms 8ms 7ms 7ms 7ms 7ms 8ms 7ms 8ms 7ms 8ms 8ms 8ms 7ms 7ms 7ms 8ms 7ms 8ms 7ms 7ms 8ms 8ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 7ms 8ms 7ms 8ms 8ms 7ms 8ms 8ms 7ms 7ms 
org.scribe.utils.PreconditionsTest.shouldThrowExceptionForSpacesOnlyStrings 7ms 7ms 8ms 7ms 7ms 8ms 7ms 8ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 9ms 8ms 7ms 7ms 7ms 8ms 7ms 12ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 8ms 7ms 8ms 7ms 8ms 8ms 8ms 7ms 7ms 7ms 7ms 8ms 7ms 8ms 7ms 8ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 8ms 8ms 7ms 7ms 8ms 7ms 7ms 7ms 8ms 7ms 8ms 8ms 7ms 7ms 7ms 8ms 7ms 8ms 8ms 8ms 7ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 7ms 8ms 7ms 
org.scribe.model.RequestTest.shouldSetBodyParamsAndHeaders 9ms 8ms 8ms 9ms 8ms 8ms 8ms 8ms 8ms 9ms 9ms 8ms 9ms 9ms 8ms 9ms 10ms 8ms 8ms 9ms 8ms 8ms 8ms 14ms 8ms 9ms 8ms 9ms 8ms 8ms 8ms 8ms 9ms 8ms 9ms 8ms 8ms 8ms 9ms 8ms 8ms 9ms 8ms 8ms 8ms 9ms 8ms 9ms 9ms 8ms 8ms 8ms 8ms 8ms 9ms 8ms 8ms 8ms 8ms 8ms 8ms 9ms 8ms 9ms 8ms 8ms 8ms 9ms 8ms 8ms 8ms 9ms 9ms 8ms 8ms 9ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 9ms 8ms 8ms 8ms 
org.scribe.services.HMACSha1SignatureServiceTest.shouldReturnSignature 24ms 24ms 24ms 24ms 23ms 24ms 23ms 24ms 24ms 24ms 24ms 24ms 25ms 23ms 24ms 24ms 34ms 24ms 24ms 24ms 24ms 24ms 24ms 33ms 24ms 25ms 24ms 24ms 24ms 24ms 24ms 24ms 24ms 24ms 23ms 24ms 24ms 24ms 24ms 25ms 24ms 24ms 24ms 23ms 24ms 24ms 24ms 24ms 24ms 24ms 24ms 24ms 24ms 24ms 24ms 25ms 24ms 24ms 24ms 25ms 24ms 24ms 24ms 24ms 24ms 24ms 24ms 24ms 24ms 25ms 24ms 24ms 23ms 24ms 25ms 24ms 23ms 24ms 24ms 24ms 24ms 24ms 24ms 23ms 24ms 24ms 24ms 24ms 24ms 24ms 24ms 24ms 24ms 24ms 24ms 24ms 24ms 24ms 24ms 24ms 
org.scribe.extractors.HeaderExtractorTest.shouldExceptionIfRequestHasNoOAuthParams 6ms 7ms 6ms 6ms 6ms 6ms 6ms 7ms 7ms 6ms 7ms 6ms 6ms 6ms 6ms 6ms 8ms 6ms 7ms 7ms 6ms 7ms 6ms 14ms 6ms 6ms 6ms 6ms 6ms 7ms 7ms 6ms 6ms 7ms 6ms 7ms 7ms 7ms 6ms 6ms 6ms 6ms 6ms 7ms 7ms 7ms 6ms 7ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 7ms 7ms 6ms 7ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 7ms 6ms 6ms 7ms 7ms 6ms 7ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 7ms 6ms 7ms 6ms 6ms 6ms 6ms 
