org.scribe.extractors.BaseStringExtractorTest.shouldExtractBaseStringFromOAuthRequest 34ms 34ms 34ms 34ms 34ms 34ms 34ms 34ms 35ms 35ms 34ms 34ms 36ms 35ms 34ms 34ms 34ms 34ms 35ms 35ms 34ms 34ms 34ms 35ms 35ms 34ms 34ms 35ms 35ms 34ms 34ms 34ms 34ms 35ms 35ms 34ms 34ms 34ms 34ms 34ms 35ms 34ms 34ms 34ms 34ms 34ms 34ms 34ms 34ms 34ms 34ms 34ms 35ms 34ms 34ms 34ms 35ms 34ms 34ms 34ms 35ms 34ms 34ms 34ms 34ms 34ms 34ms 34ms 34ms 34ms 35ms 34ms 35ms 35ms 36ms 33ms 34ms 34ms 35ms 34ms 34ms 35ms 35ms 35ms 35ms 34ms 35ms 34ms 34ms 34ms 34ms 34ms 34ms 35ms 35ms 35ms 34ms 34ms 35ms 34ms 
org.scribe.utils.URLUtilsTest.shouldThrowExceptionIfStringToDecodeIsNull 23ms 22ms 22ms 23ms 22ms 22ms 22ms 22ms 23ms 22ms 22ms 22ms 22ms 21ms 22ms 22ms 22ms 22ms 23ms 22ms 22ms 22ms 22ms 23ms 22ms 22ms 22ms 22ms 22ms 22ms 21ms 22ms 22ms 22ms 22ms 23ms 22ms 23ms 23ms 22ms 23ms 23ms 23ms 22ms 22ms 22ms 23ms 22ms 23ms 22ms 22ms 22ms 22ms 22ms 22ms 22ms 22ms 22ms 21ms 22ms 22ms 22ms 22ms 21ms 22ms 22ms 22ms 22ms 23ms 22ms 22ms 23ms 22ms 22ms 23ms 21ms 22ms 22ms 22ms 22ms 22ms 22ms 22ms 22ms 23ms 23ms 23ms 23ms 22ms 22ms 22ms 22ms 23ms 22ms 22ms 22ms 23ms 22ms 22ms 22ms 
org.scribe.model.RequestTest.shouldSetPayloadAndHeaders 13ms 13ms 13ms 13ms 14ms 13ms 14ms 13ms 14ms 14ms 13ms 14ms 14ms 13ms 14ms 14ms 14ms 14ms 14ms 14ms 14ms 13ms 13ms 13ms 14ms 13ms 14ms 14ms 14ms 14ms 13ms 14ms 14ms 14ms 13ms 13ms 13ms 13ms 14ms 13ms 14ms 13ms 14ms 14ms 14ms 14ms 13ms 14ms 14ms 14ms 13ms 13ms 14ms 13ms 13ms 14ms 14ms 14ms 13ms 13ms 14ms 13ms 13ms 13ms 13ms 13ms 13ms 14ms 14ms 14ms 13ms 14ms 14ms 14ms 14ms 21ms 13ms 13ms 13ms 14ms 13ms 14ms 14ms 14ms 13ms 13ms 14ms 13ms 13ms 13ms 13ms 13ms 13ms 14ms 13ms 14ms 13ms 14ms 14ms 13ms 
org.scribe.model.ResponseTest.shouldParseBodyContentsOnlyOnce 12ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 14ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 14ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 14ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 22ms 14ms 13ms 13ms 13ms 12ms 13ms 14ms 13ms 12ms 13ms 13ms 13ms 13ms 12ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 
org.scribe.utils.MapUtilsTest.shouldNotModifyTheOriginalMap 11ms 11ms 12ms 11ms 12ms 12ms 11ms 11ms 12ms 11ms 11ms 12ms 12ms 12ms 11ms 11ms 11ms 11ms 11ms 12ms 11ms 11ms 12ms 12ms 11ms 11ms 12ms 11ms 11ms 11ms 12ms 11ms 11ms 12ms 11ms 11ms 11ms 11ms 11ms 12ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 12ms 12ms 11ms 12ms 12ms 12ms 11ms 11ms 11ms 12ms 11ms 12ms 11ms 12ms 12ms 11ms 12ms 12ms 12ms 11ms 11ms 11ms 11ms 12ms 12ms 12ms 11ms 12ms 19ms 11ms 11ms 11ms 12ms 11ms 11ms 11ms 11ms 11ms 11ms 12ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 12ms 12ms 11ms 11ms 11ms 
org.scribe.utils.PreconditionsTest.shouldThrowExceptionForNullStrings 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 10ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 10ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 10ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 20ms 9ms 9ms 9ms 9ms 9ms 9ms 10ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 10ms 9ms 9ms 9ms 10ms 9ms 9ms 
org.scribe.extractors.BaseStringExtractorTest.shouldThrowExceptionIfRquestHasNoOAuthParameters 9ms 8ms 9ms 9ms 9ms 9ms 8ms 9ms 8ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 8ms 9ms 9ms 9ms 8ms 8ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 8ms 9ms 9ms 8ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 8ms 8ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 21ms 8ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 8ms 9ms 9ms 8ms 9ms 8ms 9ms 9ms 9ms 9ms 10ms 8ms 8ms 
org.scribe.utils.URLUtilsTest.shouldURLDecodePlusSymbol 9ms 8ms 8ms 9ms 9ms 9ms 8ms 9ms 8ms 8ms 9ms 9ms 8ms 8ms 8ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 8ms 9ms 8ms 8ms 8ms 9ms 9ms 8ms 9ms 8ms 8ms 8ms 9ms 9ms 9ms 8ms 9ms 8ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 8ms 9ms 8ms 8ms 9ms 9ms 9ms 8ms 9ms 9ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 9ms 8ms 9ms 9ms 8ms 9ms 13ms 8ms 8ms 8ms 9ms 9ms 9ms 8ms 8ms 8ms 8ms 9ms 9ms 9ms 8ms 8ms 9ms 8ms 9ms 9ms 8ms 8ms 9ms 8ms 9ms 
org.scribe.model.RequestTest.shouldHandleQueryStringSpaceEncodingProperly 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 8ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 8ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 8ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 13ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 
org.scribe.utils.PreconditionsTest.shouldThrowExceptionForSpacesOnlyStrings 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 7ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 11ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 9ms 8ms 8ms 
org.scribe.builder.ServiceBuilderTest.shouldNotAcceptAnInvalidUrlAsCallback 9ms 8ms 9ms 8ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 8ms 9ms 8ms 9ms 9ms 8ms 9ms 9ms 8ms 8ms 8ms 8ms 8ms 9ms 8ms 8ms 8ms 9ms 9ms 9ms 9ms 8ms 8ms 9ms 8ms 8ms 8ms 8ms 9ms 8ms 8ms 9ms 9ms 9ms 9ms 8ms 9ms 8ms 8ms 9ms 9ms 9ms 9ms 8ms 9ms 8ms 8ms 8ms 8ms 8ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 8ms 9ms 8ms 9ms 9ms 9ms 12ms 8ms 9ms 9ms 9ms 8ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 8ms 9ms 9ms 9ms 8ms 9ms 10ms 9ms 9ms 
