org.scribe.model.RequestTest.shouldSetPayloadAndHeaders 28ms 28ms 28ms 27ms 29ms 26ms 29ms 29ms 28ms 28ms 28ms 29ms 28ms 28ms 29ms 28ms 28ms 29ms 28ms 28ms 29ms 28ms 29ms 26ms 28ms 28ms 29ms 26ms 28ms 30ms 28ms 28ms 29ms 28ms 29ms 28ms 29ms 27ms 28ms 28ms 28ms 28ms 27ms 28ms 27ms 28ms 28ms 28ms 27ms 29ms 28ms 28ms 28ms 27ms 28ms 29ms 29ms 28ms 28ms 28ms 28ms 29ms 28ms 27ms 27ms 28ms 28ms 29ms 28ms 28ms 28ms 26ms 28ms 28ms 26ms 26ms 28ms 29ms 28ms 29ms 28ms 29ms 28ms 28ms 28ms 28ms 26ms 28ms 28ms 28ms 29ms 29ms 28ms 29ms 27ms 28ms 28ms 28ms 26ms 17ms 
org.scribe.extractors.BaseStringExtractorTest.shouldExcludePort80 38ms 38ms 37ms 38ms 37ms 37ms 37ms 39ms 38ms 37ms 37ms 38ms 38ms 37ms 39ms 37ms 38ms 37ms 37ms 37ms 39ms 38ms 38ms 38ms 37ms 38ms 38ms 38ms 38ms 39ms 38ms 39ms 39ms 38ms 38ms 38ms 38ms 37ms 38ms 37ms 38ms 38ms 38ms 38ms 38ms 37ms 37ms 38ms 38ms 39ms 38ms 38ms 37ms 38ms 38ms 38ms 37ms 38ms 38ms 37ms 37ms 38ms 38ms 38ms 37ms 37ms 38ms 38ms 37ms 37ms 38ms 38ms 38ms 37ms 38ms 38ms 37ms 38ms 37ms 38ms 38ms 38ms 38ms 38ms 37ms 38ms 37ms 37ms 38ms 38ms 37ms 37ms 37ms 38ms 37ms 37ms 37ms 37ms 37ms 38ms 
org.scribe.utils.PreconditionsTest.shouldThrowExceptionForNullStrings 22ms 22ms 22ms 22ms 22ms 21ms 21ms 22ms 22ms 22ms 21ms 22ms 22ms 21ms 23ms 21ms 22ms 22ms 21ms 22ms 23ms 22ms 23ms 21ms 21ms 22ms 22ms 21ms 22ms 24ms 22ms 22ms 23ms 22ms 22ms 22ms 22ms 22ms 21ms 21ms 22ms 21ms 22ms 22ms 22ms 21ms 22ms 21ms 22ms 22ms 22ms 21ms 21ms 22ms 22ms 23ms 22ms 21ms 22ms 22ms 21ms 22ms 22ms 22ms 22ms 21ms 12ms 22ms 22ms 21ms 22ms 21ms 22ms 21ms 22ms 21ms 22ms 21ms 21ms 22ms 22ms 22ms 22ms 22ms 22ms 22ms 21ms 21ms 22ms 21ms 23ms 21ms 23ms 22ms 22ms 23ms 21ms 22ms 21ms 13ms 
org.scribe.model.ParameterListTest.shouldAppendParametersToSimpleUrl 15ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 16ms 15ms 16ms 15ms 14ms 15ms 14ms 15ms 15ms 16ms 15ms 15ms 16ms 15ms 16ms 15ms 15ms 15ms 15ms 15ms 14ms 15ms 15ms 15ms 16ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 14ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 14ms 14ms 11ms 15ms 15ms 15ms 15ms 15ms 16ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 14ms 15ms 14ms 15ms 15ms 15ms 15ms 15ms 14ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 14ms 15ms 15ms 11ms 
org.scribe.model.RequestTest.shouldHandleQueryStringSpaceEncodingProperly 26ms 26ms 25ms 26ms 24ms 26ms 24ms 25ms 25ms 24ms 25ms 25ms 24ms 24ms 26ms 24ms 24ms 26ms 27ms 26ms 26ms 25ms 23ms 26ms 24ms 24ms 24ms 27ms 25ms 24ms 24ms 25ms 25ms 25ms 25ms 24ms 25ms 25ms 24ms 24ms 25ms 25ms 27ms 26ms 25ms 25ms 25ms 24ms 25ms 24ms 24ms 25ms 24ms 25ms 24ms 24ms 25ms 24ms 26ms 23ms 25ms 24ms 25ms 26ms 25ms 23ms 15ms 24ms 26ms 26ms 24ms 26ms 27ms 24ms 26ms 26ms 24ms 23ms 25ms 24ms 23ms 25ms 23ms 24ms 24ms 25ms 27ms 24ms 24ms 24ms 25ms 24ms 23ms 23ms 26ms 24ms 24ms 24ms 25ms 15ms 
org.scribe.utils.PreconditionsTest.shouldAllowSpecialCharsInScheme 13ms 14ms 13ms 13ms 13ms 13ms 13ms 14ms 12ms 13ms 13ms 14ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 14ms 13ms 13ms 13ms 12ms 13ms 13ms 14ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 12ms 14ms 13ms 13ms 14ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 14ms 13ms 13ms 13ms 13ms 13ms 13ms 12ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 10ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 12ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 14ms 13ms 13ms 13ms 13ms 13ms 13ms 12ms 13ms 12ms 10ms 
org.scribe.model.TokenTest.shouldNotBeEqualToNullOrOtherObjects 14ms 15ms 15ms 15ms 15ms 15ms 14ms 15ms 15ms 15ms 15ms 14ms 15ms 15ms 15ms 14ms 14ms 14ms 15ms 15ms 15ms 15ms 12ms 16ms 14ms 15ms 15ms 15ms 15ms 12ms 15ms 15ms 14ms 15ms 15ms 15ms 15ms 16ms 15ms 15ms 14ms 14ms 15ms 15ms 16ms 14ms 15ms 15ms 16ms 15ms 14ms 15ms 15ms 16ms 14ms 15ms 15ms 14ms 14ms 15ms 15ms 15ms 14ms 15ms 15ms 14ms 10ms 14ms 15ms 15ms 14ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 15ms 14ms 14ms 16ms 14ms 14ms 15ms 15ms 15ms 15ms 15ms 15ms 14ms 14ms 14ms 15ms 11ms 
org.scribe.model.RequestTest.shouldReturnTheCompleteUrl 9ms 9ms 10ms 9ms 10ms 9ms 9ms 9ms 10ms 9ms 9ms 9ms 10ms 9ms 10ms 9ms 9ms 9ms 9ms 10ms 9ms 9ms 9ms 9ms 10ms 9ms 9ms 10ms 9ms 10ms 10ms 9ms 9ms 10ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 10ms 9ms 10ms 10ms 10ms 9ms 9ms 9ms 9ms 9ms 10ms 9ms 10ms 10ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 10ms 10ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 10ms 10ms 9ms 9ms 9ms 9ms 10ms 9ms 9ms 10ms 9ms 10ms 10ms 
org.scribe.services.HMACSha1SignatureServiceTest.shouldReturnSignature 28ms 29ms 29ms 28ms 29ms 29ms 29ms 28ms 29ms 29ms 28ms 28ms 29ms 29ms 29ms 29ms 29ms 29ms 28ms 29ms 28ms 29ms 26ms 29ms 29ms 29ms 28ms 28ms 28ms 26ms 29ms 29ms 28ms 29ms 29ms 29ms 29ms 28ms 28ms 29ms 29ms 28ms 29ms 29ms 29ms 29ms 29ms 29ms 29ms 29ms 29ms 28ms 28ms 30ms 28ms 28ms 29ms 29ms 28ms 29ms 29ms 29ms 29ms 29ms 29ms 29ms 26ms 29ms 28ms 28ms 28ms 30ms 29ms 29ms 28ms 28ms 29ms 29ms 28ms 30ms 29ms 28ms 30ms 28ms 28ms 28ms 28ms 29ms 28ms 28ms 29ms 29ms 30ms 28ms 29ms 29ms 29ms 28ms 30ms 26ms 
org.scribe.extractors.HeaderExtractorTest.shouldExceptionIfRequestHasNoOAuthParams 19ms 21ms 24ms 11ms 11ms 11ms 16ms 11ms 12ms 11ms 12ms 30ms 17ms 19ms 11ms 17ms 18ms 12ms 11ms 12ms 12ms 12ms 12ms 12ms 11ms 14ms 12ms 15ms 12ms 12ms 11ms 12ms 12ms 12ms 11ms 13ms 18ms 12ms 11ms 18ms 11ms 17ms 12ms 11ms 12ms 11ms 11ms 17ms 17ms 11ms 11ms 18ms 12ms 11ms 12ms 11ms 12ms 22ms 12ms 12ms 17ms 12ms 11ms 12ms 20ms 32ms 13ms 12ms 11ms 11ms 17ms 11ms 12ms 12ms 11ms 11ms 11ms 12ms 12ms 12ms 29ms 12ms 12ms 17ms 21ms 12ms 11ms 11ms 11ms 11ms 12ms 12ms 11ms 12ms 12ms 14ms 11ms 17ms 16ms 12ms 
org.scribe.extractors.JsonTokenExtractorTest.shouldThrowExceptionIfForEmptyStrings 7ms 7ms 7ms 8ms 7ms 7ms 7ms 8ms 8ms 7ms 7ms 7ms 8ms 8ms 7ms 7ms 7ms 9ms 11ms 7ms 7ms 7ms 7ms 7ms 10ms 7ms 7ms 7ms 8ms 8ms 7ms 8ms 9ms 8ms 7ms 10ms 7ms 11ms 7ms 7ms 7ms 8ms 7ms 11ms 11ms 9ms 8ms 7ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 7ms 8ms 7ms 7ms 8ms 8ms 8ms 8ms 7ms 7ms 7ms 7ms 8ms 8ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 7ms 10ms 8ms 7ms 8ms 7ms 7ms 8ms 7ms 8ms 8ms 7ms 7ms 7ms 7ms 7ms 
