org.scribe.extractors.BaseStringExtractorTest.shouldExtractBaseStringFromOAuthRequest 37ms 37ms 36ms 36ms 36ms 38ms 37ms 36ms 36ms 36ms 37ms 37ms 37ms 37ms 37ms 36ms 37ms 36ms 37ms 36ms 36ms 36ms 37ms 36ms 36ms 36ms 37ms 37ms 36ms 36ms 36ms 36ms 36ms 36ms 37ms 37ms 36ms 37ms 37ms 36ms 36ms 36ms 37ms 36ms 37ms 38ms 37ms 36ms 36ms 36ms 36ms 37ms 36ms 37ms 36ms 36ms 36ms 37ms 36ms 37ms 37ms 36ms 37ms 37ms 36ms 36ms 36ms 37ms 36ms 36ms 36ms 37ms 36ms 36ms 36ms 37ms 37ms 36ms 37ms 36ms 36ms 36ms 36ms 38ms 38ms 36ms 36ms 37ms 36ms 37ms 36ms 37ms 36ms 37ms 37ms 36ms 37ms 36ms 37ms 38ms 
org.scribe.model.RequestTest.shouldSetPayloadAndHeaders 23ms 27ms 27ms 26ms 27ms 27ms 27ms 27ms 27ms 27ms 27ms 27ms 23ms 27ms 26ms 27ms 27ms 27ms 27ms 27ms 24ms 27ms 27ms 27ms 23ms 27ms 27ms 27ms 27ms 27ms 27ms 27ms 23ms 27ms 27ms 24ms 24ms 28ms 24ms 27ms 28ms 27ms 24ms 27ms 24ms 27ms 28ms 27ms 28ms 27ms 27ms 27ms 27ms 27ms 27ms 27ms 27ms 27ms 27ms 27ms 27ms 27ms 24ms 27ms 27ms 27ms 27ms 27ms 27ms 27ms 27ms 27ms 27ms 23ms 27ms 27ms 27ms 27ms 27ms 27ms 27ms 27ms 27ms 28ms 28ms 27ms 27ms 26ms 27ms 27ms 27ms 28ms 27ms 27ms 27ms 27ms 26ms 27ms 26ms 24ms 
org.scribe.model.ParameterListTest.shouldThrowExceptionWhenAppendingNullMapToQuerystring 14ms 23ms 24ms 23ms 23ms 24ms 23ms 23ms 22ms 23ms 23ms 23ms 15ms 23ms 22ms 23ms 23ms 22ms 22ms 23ms 14ms 23ms 23ms 23ms 14ms 23ms 23ms 23ms 22ms 23ms 22ms 23ms 14ms 23ms 23ms 14ms 14ms 24ms 14ms 23ms 23ms 23ms 14ms 23ms 14ms 23ms 23ms 23ms 23ms 22ms 23ms 24ms 23ms 23ms 23ms 23ms 23ms 23ms 23ms 23ms 23ms 22ms 14ms 23ms 23ms 23ms 23ms 22ms 23ms 23ms 23ms 23ms 23ms 13ms 23ms 23ms 23ms 23ms 23ms 22ms 23ms 22ms 23ms 23ms 24ms 22ms 23ms 22ms 23ms 23ms 23ms 23ms 23ms 23ms 23ms 23ms 23ms 23ms 22ms 14ms 
org.scribe.model.ResponseTest.shouldParseBodyContentsOnlyOnce 14ms 25ms 24ms 24ms 24ms 26ms 25ms 24ms 24ms 24ms 25ms 24ms 15ms 23ms 24ms 25ms 24ms 24ms 24ms 25ms 14ms 24ms 25ms 24ms 15ms 24ms 25ms 24ms 23ms 23ms 24ms 24ms 14ms 25ms 24ms 15ms 14ms 25ms 15ms 25ms 25ms 25ms 15ms 23ms 15ms 25ms 25ms 24ms 24ms 24ms 24ms 25ms 25ms 25ms 24ms 25ms 25ms 24ms 25ms 25ms 24ms 24ms 15ms 24ms 25ms 24ms 25ms 24ms 24ms 24ms 25ms 24ms 25ms 14ms 25ms 25ms 25ms 24ms 23ms 24ms 24ms 24ms 25ms 25ms 24ms 24ms 24ms 24ms 25ms 25ms 25ms 25ms 24ms 24ms 24ms 23ms 24ms 25ms 24ms 15ms 
org.scribe.utils.OAuthEncoderTest.shouldNotPercentEncodeReservedCharacters 9ms 13ms 13ms 12ms 13ms 23ms 13ms 12ms 13ms 12ms 13ms 13ms 10ms 12ms 13ms 13ms 12ms 13ms 13ms 13ms 10ms 12ms 13ms 13ms 10ms 13ms 13ms 13ms 13ms 13ms 12ms 13ms 10ms 12ms 13ms 10ms 11ms 13ms 11ms 13ms 13ms 13ms 10ms 13ms 10ms 12ms 13ms 13ms 13ms 12ms 13ms 14ms 13ms 13ms 12ms 12ms 12ms 13ms 12ms 12ms 13ms 13ms 10ms 12ms 12ms 13ms 12ms 13ms 12ms 13ms 12ms 13ms 13ms 10ms 13ms 14ms 13ms 13ms 13ms 13ms 13ms 12ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 12ms 21ms 12ms 13ms 10ms 
org.scribe.utils.PreconditionsTest.shouldThrowExceptionForNullStrings 9ms 12ms 12ms 12ms 13ms 24ms 13ms 12ms 12ms 12ms 12ms 12ms 10ms 13ms 12ms 12ms 12ms 12ms 12ms 12ms 9ms 13ms 12ms 12ms 9ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 9ms 12ms 12ms 9ms 9ms 12ms 9ms 12ms 13ms 12ms 10ms 12ms 9ms 12ms 13ms 12ms 12ms 12ms 12ms 13ms 12ms 12ms 12ms 12ms 12ms 12ms 11ms 12ms 12ms 12ms 10ms 12ms 11ms 12ms 11ms 12ms 12ms 12ms 12ms 12ms 12ms 9ms 12ms 13ms 12ms 12ms 12ms 12ms 12ms 12ms 13ms 13ms 13ms 12ms 12ms 12ms 12ms 12ms 13ms 12ms 12ms 12ms 12ms 12ms 22ms 12ms 12ms 10ms 
org.scribe.extractors.BaseStringExtractorTest.shouldThrowExceptionIfRquestHasNoOAuthParameters 9ms 12ms 13ms 12ms 13ms 15ms 12ms 12ms 12ms 12ms 13ms 12ms 10ms 13ms 13ms 12ms 13ms 12ms 12ms 13ms 9ms 13ms 13ms 12ms 9ms 12ms 13ms 12ms 12ms 13ms 12ms 12ms 9ms 12ms 13ms 9ms 9ms 12ms 9ms 12ms 13ms 12ms 9ms 12ms 9ms 12ms 13ms 13ms 13ms 13ms 12ms 12ms 12ms 13ms 12ms 12ms 12ms 13ms 12ms 12ms 13ms 13ms 9ms 13ms 12ms 12ms 12ms 13ms 12ms 12ms 13ms 13ms 13ms 9ms 13ms 13ms 13ms 12ms 13ms 12ms 13ms 13ms 12ms 13ms 13ms 12ms 13ms 12ms 12ms 13ms 13ms 13ms 12ms 12ms 12ms 12ms 21ms 12ms 12ms 9ms 
org.scribe.model.ParameterListTest.shouldAppendParametersToSimpleUrl 10ms 13ms 13ms 14ms 13ms 15ms 13ms 14ms 14ms 13ms 13ms 13ms 10ms 13ms 13ms 13ms 13ms 13ms 14ms 13ms 10ms 13ms 13ms 13ms 9ms 13ms 14ms 14ms 14ms 13ms 13ms 13ms 10ms 13ms 13ms 10ms 9ms 14ms 10ms 13ms 13ms 14ms 10ms 14ms 10ms 13ms 13ms 13ms 13ms 13ms 14ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 12ms 13ms 13ms 10ms 13ms 13ms 14ms 14ms 13ms 13ms 13ms 13ms 13ms 13ms 10ms 13ms 13ms 13ms 13ms 13ms 14ms 13ms 13ms 13ms 13ms 14ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 15ms 13ms 13ms 10ms 
org.scribe.model.RequestTest.shouldHandleQueryStringSpaceEncodingProperly 10ms 10ms 10ms 11ms 9ms 14ms 10ms 10ms 11ms 11ms 11ms 10ms 10ms 10ms 10ms 10ms 11ms 11ms 11ms 11ms 10ms 10ms 11ms 11ms 10ms 11ms 10ms 10ms 11ms 10ms 10ms 11ms 10ms 11ms 10ms 10ms 10ms 11ms 9ms 10ms 11ms 10ms 10ms 11ms 9ms 12ms 10ms 11ms 11ms 11ms 11ms 11ms 11ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 11ms 11ms 10ms 11ms 11ms 10ms 11ms 11ms 10ms 10ms 10ms 11ms 11ms 10ms 10ms 11ms 10ms 11ms 10ms 11ms 10ms 11ms 11ms 11ms 10ms 10ms 11ms 10ms 10ms 10ms 10ms 11ms 12ms 11ms 10ms 11ms 14ms 10ms 11ms 10ms 
org.scribe.utils.PreconditionsTest.shouldThrowExceptionForSpacesOnlyStrings 8ms 8ms 8ms 8ms 8ms 12ms 7ms 7ms 8ms 8ms 8ms 8ms 9ms 8ms 7ms 7ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 7ms 8ms 8ms 7ms 7ms 7ms 8ms 8ms 7ms 9ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 7ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 12ms 7ms 8ms 8ms 
org.scribe.utils.PreconditionsTest.shouldAllowSpecialCharsInScheme 19ms 14ms 10ms 16ms 10ms 15ms 10ms 11ms 10ms 10ms 11ms 11ms 17ms 11ms 10ms 10ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 31ms 12ms 17ms 12ms 16ms 11ms 10ms 10ms 10ms 10ms 15ms 18ms 17ms 17ms 11ms 19ms 10ms 11ms 10ms 32ms 30ms 11ms 10ms 10ms 10ms 10ms 12ms 11ms 11ms 27ms 17ms 29ms 11ms 11ms 11ms 10ms 11ms 11ms 16ms 17ms 10ms 18ms 29ms 11ms 10ms 11ms 10ms 11ms 11ms 10ms 11ms 10ms 10ms 10ms 16ms 10ms 12ms 10ms 11ms 16ms 11ms 11ms 11ms 11ms 10ms 10ms 10ms 11ms 10ms 10ms 11ms 17ms 10ms 15ms 16ms 31ms 11ms 
