org.scribe.extractors.BaseStringExtractorTest.shouldExtractBaseStringFromOAuthRequest 32ms 33ms 32ms 33ms 32ms 32ms 32ms 32ms 32ms 32ms 33ms 33ms 32ms 32ms 32ms 32ms 31ms 31ms 32ms 32ms 33ms 33ms 32ms 32ms 32ms 32ms 33ms 33ms 32ms 32ms 32ms 32ms 32ms 32ms 32ms 32ms 32ms 32ms 33ms 33ms 32ms 32ms 32ms 32ms 33ms 32ms 32ms 32ms 32ms 32ms 32ms 32ms 32ms 32ms 32ms 32ms 32ms 33ms 32ms 31ms 32ms 31ms 32ms 32ms 33ms 32ms 32ms 31ms 31ms 32ms 32ms 33ms 32ms 32ms 33ms 32ms 32ms 33ms 32ms 32ms 33ms 32ms 32ms 32ms 32ms 32ms 32ms 32ms 33ms 32ms 31ms 32ms 32ms 32ms 32ms 32ms 32ms 32ms 32ms 32ms 
org.scribe.model.RequestTest.shouldSetPayloadAndHeaders 23ms 25ms 24ms 24ms 24ms 24ms 24ms 24ms 23ms 24ms 24ms 23ms 23ms 24ms 24ms 23ms 23ms 23ms 23ms 23ms 24ms 24ms 24ms 23ms 24ms 24ms 25ms 24ms 24ms 24ms 23ms 24ms 24ms 24ms 24ms 24ms 23ms 23ms 24ms 23ms 24ms 24ms 24ms 23ms 24ms 23ms 23ms 24ms 24ms 23ms 24ms 23ms 23ms 24ms 24ms 23ms 23ms 25ms 23ms 23ms 23ms 23ms 24ms 23ms 24ms 24ms 24ms 23ms 24ms 24ms 24ms 24ms 23ms 24ms 23ms 24ms 24ms 24ms 24ms 24ms 24ms 24ms 24ms 24ms 24ms 25ms 23ms 24ms 25ms 24ms 23ms 24ms 24ms 24ms 23ms 23ms 23ms 23ms 23ms 24ms 
org.scribe.model.ParameterListTest.shouldThrowExceptionWhenAppendingNullMapToQuerystring 18ms 17ms 17ms 17ms 17ms 17ms 17ms 17ms 17ms 17ms 17ms 18ms 17ms 18ms 18ms 18ms 17ms 18ms 17ms 18ms 17ms 17ms 17ms 17ms 17ms 17ms 17ms 17ms 17ms 16ms 17ms 17ms 17ms 17ms 17ms 17ms 18ms 18ms 17ms 17ms 17ms 18ms 18ms 17ms 17ms 17ms 17ms 17ms 18ms 17ms 17ms 17ms 18ms 17ms 17ms 17ms 17ms 17ms 18ms 18ms 17ms 17ms 17ms 17ms 17ms 17ms 17ms 18ms 17ms 17ms 17ms 17ms 18ms 17ms 17ms 18ms 17ms 17ms 18ms 17ms 17ms 17ms 17ms 17ms 17ms 18ms 17ms 17ms 17ms 17ms 17ms 17ms 17ms 17ms 17ms 17ms 17ms 18ms 17ms 17ms 
org.scribe.model.ResponseTest.shouldParseBodyContentsOnlyOnce 13ms 13ms 13ms 13ms 12ms 13ms 12ms 13ms 13ms 13ms 13ms 12ms 12ms 12ms 12ms 12ms 12ms 13ms 13ms 12ms 13ms 13ms 12ms 12ms 13ms 12ms 13ms 13ms 13ms 12ms 13ms 12ms 12ms 13ms 13ms 12ms 13ms 13ms 13ms 13ms 12ms 13ms 12ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 12ms 13ms 12ms 13ms 12ms 12ms 13ms 12ms 13ms 13ms 12ms 13ms 13ms 13ms 12ms 12ms 12ms 12ms 12ms 12ms 13ms 12ms 13ms 13ms 12ms 13ms 13ms 13ms 13ms 12ms 12ms 13ms 12ms 13ms 13ms 12ms 13ms 13ms 12ms 13ms 12ms 12ms 12ms 12ms 13ms 13ms 13ms 13ms 13ms 
org.scribe.utils.OAuthEncoderTest.shouldNotPercentEncodeReservedCharacters 12ms 11ms 11ms 11ms 11ms 12ms 12ms 11ms 11ms 12ms 11ms 11ms 11ms 11ms 11ms 11ms 12ms 12ms 11ms 11ms 11ms 12ms 12ms 10ms 12ms 12ms 11ms 11ms 11ms 11ms 11ms 11ms 12ms 11ms 12ms 11ms 12ms 11ms 11ms 12ms 11ms 12ms 11ms 12ms 11ms 11ms 11ms 12ms 11ms 11ms 11ms 11ms 11ms 11ms 12ms 11ms 11ms 11ms 11ms 11ms 11ms 12ms 12ms 11ms 11ms 12ms 10ms 11ms 11ms 11ms 12ms 11ms 11ms 11ms 11ms 11ms 12ms 11ms 11ms 11ms 11ms 11ms 12ms 11ms 11ms 12ms 11ms 11ms 11ms 12ms 12ms 10ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 
org.scribe.utils.PreconditionsTest.shouldThrowExceptionForNullStrings 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 9ms 11ms 10ms 9ms 10ms 10ms 10ms 11ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 9ms 11ms 10ms 9ms 10ms 10ms 10ms 10ms 9ms 11ms 10ms 9ms 10ms 10ms 11ms 9ms 11ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 9ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 9ms 10ms 10ms 9ms 10ms 9ms 9ms 9ms 9ms 10ms 10ms 11ms 9ms 10ms 9ms 11ms 10ms 9ms 10ms 9ms 10ms 10ms 10ms 10ms 9ms 10ms 
org.scribe.extractors.BaseStringExtractorTest.shouldThrowExceptionIfRquestHasNoOAuthParameters 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 8ms 9ms 8ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 8ms 8ms 9ms 9ms 9ms 8ms 9ms 8ms 9ms 8ms 9ms 8ms 9ms 9ms 9ms 9ms 8ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 8ms 9ms 9ms 8ms 9ms 8ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 8ms 9ms 8ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 8ms 8ms 8ms 9ms 9ms 
org.scribe.model.ParameterListTest.shouldAppendParametersToSimpleUrl 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 8ms 9ms 11ms 9ms 8ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 8ms 8ms 9ms 9ms 9ms 
org.scribe.model.RequestTest.shouldHandleQueryStringSpaceEncodingProperly 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 10ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 8ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 10ms 8ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 8ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 
org.scribe.utils.PreconditionsTest.shouldThrowExceptionForSpacesOnlyStrings 8ms 8ms 7ms 8ms 7ms 8ms 7ms 7ms 8ms 8ms 8ms 7ms 7ms 8ms 7ms 8ms 7ms 7ms 8ms 7ms 8ms 7ms 8ms 7ms 8ms 8ms 8ms 7ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 7ms 8ms 7ms 8ms 7ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 7ms 8ms 8ms 8ms 7ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 7ms 7ms 8ms 8ms 7ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 7ms 7ms 7ms 7ms 7ms 8ms 8ms 8ms 
org.scribe.model.RequestTest.shouldReturnTheCompleteUrl 8ms 8ms 8ms 8ms 7ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 7ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 9ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 9ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 
