org.scribe.extractors.BaseStringExtractorTest.shouldExtractBaseStringFromOAuthRequest 31ms 32ms 31ms 32ms 32ms 31ms 32ms 31ms 32ms 31ms 32ms 31ms 32ms 32ms 31ms 31ms 32ms 32ms 33ms 31ms 32ms 32ms 32ms 32ms 32ms 32ms 31ms 32ms 31ms 31ms 31ms 32ms 32ms 32ms 32ms 32ms 32ms 31ms 32ms 32ms 31ms 32ms 33ms 32ms 32ms 31ms 32ms 32ms 32ms 31ms 32ms 31ms 32ms 31ms 32ms 32ms 31ms 31ms 32ms 32ms 32ms 31ms 31ms 31ms 32ms 32ms 32ms 31ms 32ms 32ms 32ms 32ms 33ms 31ms 31ms 32ms 31ms 32ms 31ms 32ms 32ms 33ms 31ms 32ms 32ms 32ms 32ms 31ms 33ms 32ms 33ms 32ms 32ms 32ms 32ms 31ms 31ms 32ms 32ms 31ms 
org.scribe.utils.URLUtilsTest.shouldThrowExceptionIfStringToDecodeIsNull 21ms 21ms 20ms 21ms 21ms 21ms 21ms 20ms 22ms 21ms 22ms 20ms 21ms 20ms 20ms 21ms 21ms 21ms 21ms 20ms 21ms 21ms 21ms 20ms 21ms 21ms 20ms 20ms 21ms 20ms 21ms 21ms 20ms 21ms 20ms 20ms 21ms 20ms 21ms 21ms 20ms 21ms 21ms 21ms 21ms 20ms 21ms 21ms 21ms 21ms 20ms 20ms 21ms 20ms 20ms 21ms 21ms 21ms 21ms 21ms 21ms 21ms 20ms 21ms 20ms 20ms 20ms 20ms 20ms 21ms 20ms 22ms 21ms 21ms 20ms 21ms 20ms 21ms 20ms 20ms 21ms 21ms 21ms 21ms 21ms 21ms 22ms 20ms 21ms 21ms 22ms 21ms 21ms 21ms 21ms 21ms 20ms 21ms 21ms 21ms 
org.scribe.model.RequestTest.shouldSetPayloadAndHeaders 19ms 19ms 20ms 19ms 19ms 19ms 20ms 19ms 20ms 19ms 19ms 19ms 20ms 18ms 19ms 19ms 19ms 20ms 19ms 19ms 19ms 19ms 19ms 19ms 19ms 19ms 19ms 19ms 19ms 19ms 18ms 18ms 19ms 19ms 19ms 19ms 19ms 19ms 19ms 19ms 19ms 19ms 19ms 18ms 20ms 19ms 19ms 19ms 19ms 19ms 19ms 19ms 19ms 19ms 19ms 20ms 19ms 19ms 19ms 19ms 19ms 19ms 19ms 19ms 18ms 19ms 19ms 19ms 18ms 19ms 19ms 19ms 19ms 19ms 19ms 19ms 18ms 19ms 19ms 19ms 19ms 20ms 18ms 19ms 19ms 19ms 19ms 19ms 19ms 19ms 19ms 20ms 18ms 19ms 19ms 19ms 19ms 19ms 19ms 19ms 
org.scribe.model.ResponseTest.shouldParseBodyContentsOnlyOnce 13ms 12ms 13ms 12ms 12ms 13ms 12ms 12ms 13ms 13ms 13ms 12ms 13ms 12ms 13ms 13ms 13ms 13ms 12ms 12ms 13ms 12ms 12ms 13ms 13ms 13ms 13ms 12ms 13ms 13ms 12ms 12ms 13ms 13ms 13ms 17ms 13ms 12ms 12ms 12ms 12ms 13ms 12ms 12ms 13ms 13ms 13ms 13ms 13ms 13ms 13ms 12ms 12ms 12ms 12ms 12ms 12ms 13ms 13ms 12ms 13ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 17ms 13ms 12ms 13ms 13ms 12ms 12ms 12ms 13ms 12ms 13ms 13ms 12ms 12ms 13ms 12ms 12ms 12ms 13ms 12ms 17ms 13ms 12ms 13ms 12ms 13ms 13ms 13ms 12ms 12ms 
org.scribe.utils.MapUtilsTest.shouldNotModifyTheOriginalMap 11ms 10ms 11ms 10ms 10ms 10ms 10ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 10ms 11ms 11ms 10ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 10ms 12ms 11ms 10ms 11ms 11ms 11ms 11ms 11ms 11ms 10ms 11ms 11ms 11ms 11ms 11ms 11ms 10ms 11ms 11ms 11ms 10ms 11ms 11ms 10ms 11ms 11ms 10ms 10ms 11ms 11ms 11ms 11ms 11ms 11ms 10ms 11ms 11ms 11ms 11ms 11ms 11ms 10ms 10ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 10ms 11ms 11ms 11ms 11ms 10ms 
org.scribe.utils.PreconditionsTest.shouldThrowExceptionForNullStrings 11ms 11ms 11ms 10ms 10ms 10ms 10ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 10ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 10ms 10ms 11ms 11ms 11ms 11ms 11ms 11ms 10ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 10ms 11ms 11ms 10ms 10ms 10ms 11ms 10ms 11ms 11ms 11ms 11ms 11ms 11ms 10ms 11ms 11ms 11ms 10ms 10ms 11ms 11ms 11ms 11ms 10ms 11ms 11ms 10ms 11ms 11ms 11ms 12ms 11ms 11ms 11ms 11ms 11ms 10ms 11ms 11ms 10ms 
org.scribe.extractors.BaseStringExtractorTest.shouldThrowExceptionIfRquestHasNoOAuthParameters 9ms 9ms 9ms 8ms 9ms 8ms 8ms 9ms 9ms 9ms 10ms 9ms 10ms 9ms 9ms 9ms 9ms 10ms 9ms 9ms 10ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 8ms 9ms 9ms 9ms 11ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 10ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 8ms 9ms 8ms 9ms 9ms 9ms 9ms 11ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 11ms 10ms 9ms 9ms 9ms 9ms 8ms 9ms 10ms 8ms 
org.scribe.utils.URLUtilsTest.shouldURLDecodePlusSymbol 8ms 9ms 9ms 8ms 8ms 8ms 8ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 8ms 9ms 9ms 8ms 9ms 9ms 8ms 8ms 9ms 8ms 9ms 8ms 8ms 8ms 8ms 9ms 10ms 8ms 8ms 8ms 9ms 9ms 9ms 9ms 9ms 8ms 8ms 9ms 9ms 9ms 9ms 9ms 8ms 8ms 9ms 8ms 9ms 8ms 9ms 9ms 8ms 9ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 9ms 8ms 10ms 9ms 8ms 8ms 9ms 9ms 8ms 8ms 8ms 9ms 8ms 9ms 9ms 8ms 9ms 8ms 9ms 9ms 8ms 8ms 11ms 8ms 9ms 9ms 8ms 9ms 8ms 9ms 9ms 8ms 
org.scribe.model.RequestTest.shouldHandleQueryStringSpaceEncodingProperly 9ms 9ms 9ms 9ms 8ms 9ms 8ms 9ms 9ms 8ms 9ms 8ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 8ms 9ms 9ms 9ms 8ms 9ms 8ms 8ms 9ms 9ms 9ms 8ms 9ms 11ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 8ms 9ms 8ms 9ms 9ms 8ms 11ms 9ms 9ms 8ms 9ms 9ms 9ms 8ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 12ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 
org.scribe.utils.PreconditionsTest.shouldThrowExceptionForSpacesOnlyStrings 8ms 8ms 8ms 8ms 8ms 8ms 7ms 7ms 8ms 8ms 8ms 7ms 8ms 8ms 7ms 7ms 7ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 7ms 8ms 8ms 7ms 7ms 8ms 7ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 7ms 8ms 8ms 8ms 7ms 8ms 8ms 7ms 8ms 7ms 8ms 7ms 8ms 7ms 8ms 7ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 7ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 7ms 9ms 8ms 8ms 8ms 8ms 7ms 8ms 8ms 7ms 8ms 
org.scribe.builder.ServiceBuilderTest.shouldNotAcceptAnInvalidUrlAsCallback 9ms 9ms 9ms 8ms 9ms 8ms 9ms 8ms 9ms 9ms 9ms 8ms 8ms 8ms 8ms 8ms 8ms 9ms 9ms 8ms 8ms 9ms 9ms 8ms 8ms 8ms 9ms 8ms 8ms 8ms 9ms 9ms 9ms 8ms 9ms 8ms 8ms 8ms 9ms 8ms 8ms 9ms 9ms 8ms 8ms 9ms 9ms 8ms 9ms 8ms 8ms 9ms 8ms 8ms 9ms 9ms 9ms 8ms 8ms 9ms 8ms 9ms 8ms 8ms 8ms 9ms 8ms 9ms 8ms 9ms 8ms 9ms 9ms 8ms 8ms 8ms 9ms 8ms 9ms 8ms 9ms 9ms 8ms 9ms 8ms 8ms 9ms 8ms 8ms 8ms 8ms 9ms 9ms 8ms 9ms 8ms 9ms 9ms 8ms 8ms 
