org.scribe.extractors.BaseStringExtractorTest.shouldExtractBaseStringFromOAuthRequest 29ms 29ms 30ms 29ms 30ms 30ms 30ms 29ms 29ms 29ms 29ms 29ms 30ms 30ms 30ms 30ms 30ms 29ms 29ms 30ms 30ms 30ms 29ms 30ms 29ms 29ms 30ms 30ms 29ms 29ms 30ms 29ms 29ms 30ms 30ms 30ms 30ms 30ms 30ms 30ms 29ms 30ms 29ms 29ms 29ms 30ms 30ms 32ms 30ms 30ms 30ms 29ms 29ms 30ms 29ms 29ms 29ms 30ms 30ms 29ms 29ms 29ms 30ms 29ms 29ms 29ms 29ms 29ms 30ms 31ms 29ms 30ms 29ms 29ms 30ms 30ms 30ms 29ms 29ms 30ms 30ms 29ms 29ms 29ms 30ms 30ms 29ms 30ms 29ms 30ms 30ms 30ms 29ms 29ms 30ms 30ms 29ms 30ms 29ms 30ms 
org.scribe.utils.URLUtilsTest.shouldThrowExceptionIfStringToDecodeIsNull 18ms 19ms 18ms 19ms 19ms 19ms 20ms 18ms 19ms 19ms 19ms 19ms 18ms 19ms 19ms 18ms 18ms 19ms 19ms 18ms 18ms 18ms 19ms 18ms 19ms 18ms 20ms 19ms 19ms 19ms 18ms 19ms 18ms 18ms 19ms 18ms 19ms 18ms 19ms 19ms 18ms 19ms 19ms 19ms 19ms 19ms 19ms 20ms 19ms 18ms 18ms 19ms 19ms 18ms 19ms 19ms 19ms 18ms 18ms 19ms 18ms 18ms 19ms 19ms 18ms 18ms 19ms 19ms 19ms 19ms 18ms 18ms 19ms 19ms 18ms 18ms 19ms 19ms 19ms 19ms 18ms 19ms 19ms 18ms 19ms 18ms 19ms 18ms 19ms 19ms 18ms 18ms 19ms 19ms 19ms 18ms 19ms 19ms 19ms 19ms 
org.scribe.model.RequestTest.shouldSetPayloadAndHeaders 18ms 18ms 18ms 18ms 18ms 18ms 18ms 18ms 18ms 18ms 18ms 18ms 18ms 18ms 18ms 17ms 18ms 18ms 18ms 18ms 18ms 18ms 18ms 17ms 17ms 18ms 18ms 18ms 18ms 18ms 18ms 18ms 18ms 18ms 18ms 19ms 18ms 18ms 18ms 18ms 17ms 19ms 18ms 18ms 18ms 18ms 18ms 20ms 18ms 19ms 18ms 18ms 19ms 18ms 18ms 18ms 18ms 18ms 18ms 18ms 17ms 18ms 18ms 18ms 18ms 19ms 18ms 18ms 18ms 19ms 18ms 18ms 18ms 18ms 18ms 17ms 18ms 19ms 18ms 18ms 18ms 18ms 18ms 17ms 18ms 18ms 18ms 18ms 18ms 18ms 18ms 18ms 18ms 18ms 19ms 18ms 18ms 18ms 18ms 18ms 
org.scribe.model.ResponseTest.shouldParseBodyContentsOnlyOnce 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 13ms 12ms 12ms 12ms 12ms 12ms 11ms 12ms 11ms 12ms 12ms 12ms 11ms 12ms 12ms 12ms 12ms 12ms 12ms 11ms 12ms 13ms 11ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 15ms 13ms 13ms 11ms 13ms 12ms 11ms 12ms 12ms 12ms 12ms 12ms 13ms 12ms 12ms 12ms 12ms 12ms 12ms 13ms 12ms 12ms 12ms 12ms 12ms 12ms 11ms 12ms 12ms 13ms 12ms 11ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 
org.scribe.utils.MapUtilsTest.shouldNotModifyTheOriginalMap 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 8ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 10ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 10ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 8ms 8ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 
org.scribe.utils.PreconditionsTest.shouldThrowExceptionForNullStrings 10ms 10ms 10ms 10ms 11ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 11ms 10ms 10ms 10ms 10ms 10ms 
org.scribe.extractors.BaseStringExtractorTest.shouldThrowExceptionIfRquestHasNoOAuthParameters 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 8ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 10ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 11ms 9ms 9ms 9ms 10ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 
org.scribe.builder.ServiceBuilderTest.shouldReturnOOBasDefaultCallback 8ms 8ms 9ms 8ms 8ms 8ms 9ms 9ms 9ms 8ms 9ms 8ms 9ms 8ms 8ms 8ms 8ms 8ms 8ms 9ms 8ms 8ms 8ms 9ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 9ms 8ms 9ms 9ms 8ms 8ms 9ms 8ms 9ms 9ms 8ms 9ms 9ms 8ms 8ms 9ms 8ms 11ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 9ms 9ms 8ms 9ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 9ms 8ms 8ms 8ms 9ms 8ms 8ms 8ms 9ms 9ms 8ms 9ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 9ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 
org.scribe.utils.URLUtilsTest.shouldURLDecodePlusSymbol 7ms 7ms 7ms 8ms 8ms 7ms 8ms 7ms 7ms 8ms 7ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 8ms 7ms 7ms 8ms 7ms 8ms 7ms 8ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 8ms 7ms 7ms 8ms 7ms 7ms 8ms 7ms 7ms 7ms 8ms 7ms 7ms 8ms 8ms 8ms 8ms 8ms 7ms 7ms 7ms 8ms 7ms 7ms 8ms 8ms 7ms 7ms 7ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 7ms 7ms 8ms 7ms 7ms 8ms 7ms 7ms 8ms 7ms 7ms 7ms 8ms 7ms 8ms 7ms 8ms 7ms 8ms 7ms 7ms 8ms 7ms 8ms 7ms 
org.scribe.model.RequestTest.shouldHandleQueryStringSpaceEncodingProperly 8ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 7ms 8ms 8ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 8ms 8ms 7ms 8ms 8ms 8ms 8ms 8ms 7ms 7ms 8ms 7ms 7ms 8ms 7ms 7ms 7ms 8ms 8ms 7ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 7ms 8ms 7ms 7ms 8ms 8ms 8ms 8ms 8ms 8ms 8ms 7ms 7ms 7ms 
org.scribe.utils.PreconditionsTest.shouldThrowExceptionForSpacesOnlyStrings 7ms 7ms 7ms 6ms 6ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 6ms 6ms 7ms 7ms 7ms 6ms 6ms 6ms 6ms 7ms 7ms 6ms 7ms 7ms 7ms 6ms 7ms 7ms 7ms 7ms 6ms 7ms 7ms 6ms 7ms 7ms 6ms 7ms 6ms 6ms 7ms 7ms 6ms 6ms 7ms 7ms 7ms 6ms 7ms 6ms 6ms 6ms 6ms 6ms 7ms 7ms 7ms 6ms 7ms 7ms 6ms 6ms 6ms 7ms 6ms 6ms 6ms 6ms 6ms 6ms 6ms 7ms 7ms 7ms 6ms 7ms 7ms 6ms 7ms 7ms 6ms 7ms 6ms 7ms 6ms 7ms 6ms 7ms 6ms 7ms 6ms 7ms 7ms 6ms 7ms 6ms 6ms 
